#separator:tab
#html:true
#guid column:1
#tags column:3
"B-N|kF-#aW"	(1) -(r)on; (2) -or	agental suffix (suf)	
H2pRekwn|V	mín	our (pron)	
cfPdEyzAz{	mírad	treasury, hoard (n)	
"KQdm##.Mnw"	mírdan	jewel smith (n)	
oED7ySK>eu	míria-	to sparkle like jewels (vb)	
K$tn]GiBN/	míriel	sparkling like jewels, like a jewel (adj)	
t^>5!JN:Ao	mîdh	dew, *moisture, damp(ness); ⚠️[ᴱN.] mist, drizzle (n)	
qz@yJXJ_7r	mîg	among (prep)	
I^oL@a64^>	mîn (Motion and Transportation)	motion (n)	
OO9@75WyrQ	mîn (Spatial Relations)	[thing] between; gap, space, barrier; anything intervening between two other things (n)	
Qdg,$iY=/.	mîr	jewel, precious thing, treasure (n)	
KL?WI4co3K	mî	(to the) inside; into (adv prep)	
n)2B7*d5S+	môr	dark(ness); †night, ⚠️[N.] †black (n)	
bTUPk[ua[V	mûg	dung (n)	
rAJ$&<M3KF	mûn	womb (n)	
"C#m[|w<^Ry"	na (Grammar)	of; with, along with, accompanied by, provided with or by, associated with, marked with; [N.] by (prep)	
enA:13hi<Q	na (Spatial Relations)	to, towards, at (prep)	
bcT!ec9e?	na(n)	of; provided with or by, associated with, marked with, ⚠️with, along with, accompanied by; [N.] by (prep)	
D[}2tJV|-A	na-	to be (vb)	
JA:!b]c9NR	nab-	to take, lay hold of (vb)	
IRXX=K/,(t	nabant	almost, (lit.) towards full (adv)	
eEaK_2z5Do	nabas	seizure (n)	
sT%|GC=~_f	nabor	booty (n)	
"Du#q1=u`<s"	naden	until, up to, as far as (prep)	
AkiNB>@U%2	nadh-	to chew, gnaw (vb)	
L9tyohzx{;	nadha	fetter (n)	
jPtrum7~nB	nadren	real; possible (in sense possible to exist or think of) (adj)	
MD&R~~u^pf	naeag	goat (n)	
"L<6UtT#)8w"	naeda-	to oppress, cause great grief to (vb)	
g?=UE4o!08	naedh	wounding, wound (n)	
scn@x<1{@z	naed	true, real (adj)	
A>Fa>N.Ii!	naegos	anguish (n)	
c<DE[vj4*p	naegra-	to pain (vb)	
jeN/jE*Hk~	naena-	to lament, wail for, make moan for, ⚠️weep (vb)	
"xc6m#UCxVk"	naeras	sorrow, woe (n)	
z:Sdi~}EIL	naergon	woeful lament (n)	
lQ3!0`&%wg	naer	dreadful, horrible, unendurable; [N.] lamentable, ⚠️sad (adj)	
pHX-M]9=a@	naeth	woe; [N.] biting, gnashing of teeth (n)	
kr$:{YN.h7	nagnel	incisor (tooth) (n)	
iocyDdr5DD	naith	spearhead, gore, wedge, narrow prominitory; angle (n)	
BpJ}$f+:xu	nala	(yellow) lily (n)	
BY{*EyRWD4	nalla-	to cry (vb)	
j$B(NA8pUh	naman	how, (lit.) with what (adv)	
tu/$B5a+rR	nan(d)	vale, valley, [ᴱN.] dale; [N.] wide grassland; ⚠️[G.] field acre (n)	
oHoh@KBR)2	nanc	bite (n)	
"QI#;o3=#/X"	nanu	truth (n)	
vvB,dM4i|`	nanwen	true (adj)	
EUyJ:A@:F1	nan	of (prep)	
bN+P+Ay^$P	narch	bitter-biting (adj)	
t/SJyk*6%6	narn	tale, [N.] saga (n)	
n.~=COt|f-	narphen	character [in a story] (n)	
B=)<_E(:L3	narthan	beacon (n)	
n29*HayxU(	narth	list, (lit.) product of recitation (n)	
t-ILyz?f:K	narvaenas	firework (n)	
lDl_NdrkM%	nast	being (used for both a creature and the state of existence) (n)	
iSn-:>K}Ka	natha-	to bring help to, save, rescue (vb)	
k+R`??l[JH	nathal	guest (n)	
lL2Mhg<`1C	nathla-	to welcome (vb)	
l3[27MZOZ4	nathol	affable, kindly, welcoming (adj)	
xS-S$bwB@2	nathren	welcome, acceptable, agreeable (adj)	
t]6ljiP8A`	naug	dwarf; dwarf(ed), stunted (n)	
nJ|W~~f-[.	naur	fire, ⚠️[N.] flame (n)	
DT(48.Wt<5	navaer	farewell, (lit.) be well (interj)	
pH&xBSl{pD	navan	where, whither, to where, (lit.) at/to what (adv)	
J,c2b-x+R]	naw	yes (interj)	
bw^LPwj=iO	nederphaen	ninety (cardinal)	
zzf63*|sU%	neder	nine (cardinal)	
Jw9p(;&Zl@	nedhor	mid-day, noon (n)	
E[sB[aNt0J	nedhu	bolster, cushion (n)	
beIYrWikf^	nedhwad	lunch, (lit.) middle-meal (n)	
pVc!OLG4>,	ned	*one more; ⚠️first; *during (n)	
"vwT15<(*x#"	nef	hither, on this (the speaker’s) side of; †beyond [loose translation]; *near (prep)	
wCUH[8:a^:	negen	sharp, angular (adj)	
v&:iZ6AHD)	neitha-	to wrong, deprive (vb)	
e3:8b]w[!{	neithan	one deprived, exile whose rights and goods have been confiscated (n)	
y+0v3s-+Jy	nelchaenen	*thirtieth (ordinal)	
"EZ*66#*sZ}"	neldor	beech (n)	
mG45$:q=(3	nelio	buckwheat (n)	
l4amgp4Kyx	nellad	sound of bells, ringing (n)	
MQGLV!k5i?	nelluin	bluebell (n)	
eNj6s96[sY	nelphaen	thirty (cardinal)	
Qp%2i~NMkK	neman	when, (lit.) during what (adv)	
"j0ShlD#v?-"	nemmas	evidence (n)	
v(Tba1M}``	nem	seeming, evident, probably but not necessarily so (adj)	
m>Ii^WdHz}	nend	watery (adj)	
BFWwz{Y>Y+	nennibis	waterlily, (lit.) water snowflake (n)	
OO}/9Qcuc_	nen	water; lake, pool; (lesser) river, [ᴱN.] stream (n)	
O1Y,f,D{`F	nepheg	mid-point, (lit.) mid-spot (n)	
tMBwU[ZGl<	ness	*headland; [G.] (water) meadow; long grass (n)	
vYT~Oq,<P_	nethan-	to inspire, kindle inside (vb)	
yS$uT4RRht	netheg	girl (diminutive) (n)	
mONN[s]s$}	nethia-	to entertain, (orig.) to make welcome (vb)	
"hH#d578yPU"	nethias	entertainment (n)	
EJV.nIb6VV	nethig	sister, girl (diminutive) (n)	
QfI2FF+_6%	nethor	herd, flock (n)	
"f=_(K^#K{>"	neth	(little) girl; ⚠️sister (diminutive) (n)	
Cj.:A.D,Ot	nev-	to seem, appear (vb)	
kR%9^i&q$$	nevia-	to localize, bring close, translate (into your own language), translate (into another language when used with the dative case) (vb)	
B>&EZ|_`3c	nevra-	to face, go forward (vb)	
qKhhoO-c67	nevui	nearly (adj)	
J};>7uepf5	niben	petty, *small (adj)	
s:`Bk8z*pN	nibis	snowflake (n)	
e6Aj.5+f|i	nich	frost (n)	
u<FLTlO0Nl	nidh-	to will (vb)	
odjIKq{la5	nigol	mouse, (lit.) small one (n)	
q=$SUC%v+F	nigren	stealthy, (orig.) mouse-like (adj)	
rX%Yv|N^0g	nimmas	whiteness (n)	
E2$$^o4^K:	nimp	pale, pallid, white; small and frail, [ᴱN.] wan, sickly (adj)	
MaJ~i>}e!I	nim	white (adj)	
wByjDXyyGl	nind	slender (adj)	
oxMk>FM-}f	ninglor	golden water-flower, *yellow iris (n)	
fOAeIf10BA	ninna-	to weep, *cry (tears) (vb)	
DC@DB}i~]P	ninniach	rainbow (n)	
P(a0l4GK<I	nin	me (pron)	
mCf``3SUP;	niphredil	white flower (similar to a snowdrop); *(lit.) pale point (n)	
cNlB;1d=nA	niphred	pallor; [N.] fear (n)	
s!t$Uh.bS6	nirnaeth	tears, [N.] lamentation (n)	
v$4<7@3VHc	nista-	to press, thrust, force (in a given direction) (vb)	
vnkq+c%5c;	niwrim	swarm (n)	
f)GCQ(>Hfe	ni	I (pron)	
i=0S,e|)@8	nobad	thumb and index finger as a pair, *(lit.) pickers (n)	
cYuep;[7X)	noch	acorn (n)	
n7pn6Ah0C+	noden	prone, face down (adj)	
c/AWc,V|WS	nodui	some, few, several (adj)	
Cu(=5K4iF9	nogen	boy, lad, urchin; *(orig.) short (of persons) (n)	
xO>|Hk$[V1	nor-	to run (or leap) of animals or men; [G.] to roll [of vehicles] (vb)	
mD&7!6.*Gv	nordh	oak (n)	
tg13T8]/tk	norn (adj n)	hard; dwarf (adj n)	
"c7@#ZR0$1r"	norn (n)	[G.] wheel (n)	
nC/8{&b]45	norna-	to complain of, ⚠️bewail, lament (vb)	
sQ@kYC]x~;	nornad	complaint (n)	
"uy$ps%J#Zn"	northa-	to make run, *ride; [G.] to send rolling [as a vehicle], speed (vb)	
bqUEe>%(W_	north	riding, race (of people running), charge or gallop (n)	
"L.ccuKt#mY"	norweg	often running (adj)	
ya+bB:[T<:	nos(s)	family, kindred, clan, house; race, tribe, people (n)	
GYzW[j:{yZ	nosta-	to smell (vb)	
ls@0{<-E,y	nost	house, family (n)	
Jd/MgDsp=D	nothlir	folk, family (n)	
xoJ1yE2w:,	nothrim	family (n)	
k/SdYm9|xO	noth	number (n)	
O1GoXp&w[q	novaer	goodbye, farewell, (lit.) be well (interj)	
KNpXXv1=T2	nuicha-	to take notice, perceive; *(orig.) to smell [something] (vb)	
Qz8bFqslN<	nuitha-	to stunt, prevent from coming to completion, stop short, not allow to continue (vb)	
jp~;pGu-C=	nui	before (of time); ⚠️[G.] afterwards, again, later (prep adv)	
N4CBx_`E]{	nunna-	to incline head, bend face down, *nod; to assent, *agree (vb)	
j1V7-FuL=U	nu	under (prep)	
Mwgx;fR~gy	nída-	to weep, cry (tears) (vb)	
KFy,_WqMI-	nídha-	to be determined to (vb)	
rdZH6iyr2(	nínia-	to weep (vb)	
"ej9#FN|?M+"	nín	my (pron)	
B8.XB!HwEz	nírol	sad, sorrowing, *sorrowful (adj)	
sPSx@n1v}}	nítha- (Physical World)	to snow, hail, ⚠️rain (vb)	
kEwb?9]iT:	nítha- (Spatial Relations)	to reduce, make small (vb)	
gZZnSLql:_	níthannen	reduced, minor (vb)	
GgK742l!vU	níwost	hive (n)	
z,:Ioie4:w	nî-	was (vb)	
q{lRIw`se&	nîdh (Food and Drink)	[N.] honeycomb; ⚠️[S.] juice (n)	
yYX64+@KNy	nîdh (Mind and Thought)	full vigorous purpose, exertion of will (n)	
n=|2OEmqMW	nîn (adj)	wet, *watery (adj)	
NM}%E+0|2N	nîn (n)	tear; ⚠️[ᴱN.] weeping (n)	
"wDhe7i#fFv"	nîw	bee (n)	
RaA9y^gGbW	nî	once, at one time; was (adv)	
kh^]YHQ-hl	nŷw	noose, snare (n)	
n?0962T7Hn	och	egg (n)	
ewi}mE.Lc^	odlad	week (n)	
dq7M[x`*OS	oer	nasty (adj)	
Eg)(%UH5o:	oetha-	to lay eggs, nest (vb)	
"IU[uZf<#r@"	oew	an evil deed (n)	
KbTBN85&R0	oglas	wickedness, *evil (n)	
!lB,jItI}	ogod	knee (n)	
"vaZ*Y:p_R#"	ogol	bad, evil, wrong; gloom(y) (adj)	
L@EOU/$aK/	ogron	wicked or evil person (n)	
vXh%<mB2>%	ol-	(1) to become; (2) to pour (vb)	
B%LAnZK:qa	ola-	to become (vb)	
"im&#/t4r:L"	olf	jar, flagon, *pitcher (n)	
"f`#y52[z)g"	olla-	to ooze, *trickle (vb)	
pG8A7Nbz-C	olost	drowsy, dreamy, lazy (adj)	
njtKrO;eq%	olui	dreamy (adj)	
uE)A3J*f[5	oman	whence, from where, (lit.) from what (adv)	
qZl[$-VjA)	omlos	chestnut tree, *chestnut (n)	
Hi<uJn`4@)	oneth	*giving (n)	
EP!BH>@RMI	onna-	*to birth, give birth to (vb)	
siHRHy|Vh_	onnad	birth (n)	
Oq;S}FJ?qd	onnen	born (adj)	
EDhwNIAf%K	ont	no, none (adj adv)	
bAD_P^sF6N	or-	-day (pref)	
FwDzJX=9Xt	ora-	to heat up (vb)	
P{>9MQzao(	orchal	tall; [N.] superior, eminent, lofty (adj)	
fkvp,>)3@a	orchen	dandelion, (lit.) day-eye (n)	
jmY]-~wqu8	orch	Orc, [N.] goblin (n)	
i8XFv;:oN<	ordh	boil, pus (n)	
F&1!]=130G	ordolel	tomorrow (n)	
pii[i(N*1j	orfing	pear, *(lit.) hair-apple (n)	
yt9&(%yf?y	orf	apple (n)	
HLph)U+z3o	orna-	to burn (tr. and intr.) (vb)	
Dh4Q*D=R>-	orn	(tall straight) tree (n)	
po$qpuaid=	orodben	mountaineer, one living in the mountains (n)	
o)zZ>.7$&L	orod	mountain (n)	
qR@J;WG1Mn	oronnad	birthday (n)	
jsMH<Z~_Rz	oroth	rage, anger (n)	
B0+mFcGLPe	ortha-	to raise (vb)	
tFHl5DVHkz	orthad	*raising (n)	
kgw7TW^YM{	orth	upper (adj)	
"G#6=!lqSbd"	orvel-	to favour, *(lit.) love above (vb)	
xC-q*YXdF:	osgaef	surroundings, environs, milieu (n)	
g_32AC46)o	osta-	to surround with walls, build up, fortify, protect; to surround (vb)	
KZ]-u$OR46	ostol-	to circumnavigate, come around (vb)	
w~Pg=vPR08	ostor	enclosure, circuit of walls, *town wall (n)	
Be<}{PiS)4	ost	fort, fortress, stronghold, citadel; (fortified) town, [N.] city; [orig.] [S.] enclosure, ⚠️[G.] yard (n)	
zQj&SoPPWy	os	*about (prep)	
J;S8mvgddY	oth-	[wrong] with a bad sense; unsuitable, bad, improper, useless, wrong (pref)	
qV?zc8}~Qa	othas	warfare (n)	
NqTAK^xRVL	othestannen	infamous, of evil name, (lit.) ill-named (adj)	
KlssNy1}-;	othgar(ed)	doing wrong, *wrong doing (n)	
k>A`-FZl*+	othgarn	misdeed, *sin (n)	
caVr(;KbF`	othidh	armistice (n)	
y15h.B;oBj	othlonn	paved way (n)	
n[C=cX+%5K	othovor	too much, (lit.) abundant in a bad way (adj)	
hV,fWS&e/A	othra-	to get away, escape (vb)	
cEgHy6TcUW	othrad	street (n)	
KwPM(<~;C<	othren	strange, weird, odd (adj)	
gWlBXSku[6	othrim	army (n)	
u4:08K/[oG	othrol	warlike (n)	
xTIKk2.LKM	othrond	underground stronghold, [N.] underground city, fortress (n)	
c_P`QA)?od	othwen	amazon (n)	
KErkkHeAD&	o	from, of (prep)	
irq3BkpTQM	pad-	to step, walk (vb)	
FzCaR[73UE	padra-	to walk (vb)	
H0[02,Ri0g	paetha-	to utter, speak, talk (vb)	
g8/JnvzA>M	paethad	oratory (n)	
fv<MiOEL@O	paethas	grammar, speech-system (n)	
E`4,k><w}S	paethron	orator (n)	
K=Bsq$n,e2	paeth	speech (n)	
b&XBm_aq`H	paich	juice, syrup, *sap (n)	
QZlDMg!l3E	palan-díriel	far-gazer (n)	
F/5C8A2R*a	palan-hinnen	famous, *(lit.) widely-known (adj)	
x2Z&p^]0b$	palan-tîriel	*far-gazer (n)	
w1G7cIS{%L	palan	afar, abroad, far and wide (adv)	
B)UFaPcW-A	palt	wide flat leaf; page of book; ⚠️blade (of swords, knives, oars, etc.) (n)	
q1%Ndz)&8R	pan-	to arrange, order, settle; to set, put, place; to write a book (vb)	
nA[WIJ{G/y	pand	courtyard (n)	
G1*e5~SM{|	pannen	arranged, settled, done (adj)	
BogUV3N`yk	pant (adj)	full; [G.] (with article) the whole, all the (adj)	
PXH/>aK-i^	pant (n)	money (n)	
H7QmIa`q|K	panu	arrangement, plan; structure, ordering; (musical) theme (n)	
y`&u:eR=bp	pan	arrangement, settlement, *grouping; ⚠️place, spot (n)	
~luY)kqAl	paran	bare, naked; smooth, shaven (adj)	
oj6,J!~M>(	parchol	towel (n)	
x/05)9g~Dw	parch	naked (of persons) (adj)	
"A.(w658#:|"	parlas	parchment, document (n)	
KitwZ^fxu~	paron	full-moon (n)	
Qs[I^@Ux,F	partha-	to arrange, compose (vb)	
g:i1S%Jwol	partham	library (n)	
n1QVzf(arJ	parth	field, enclosed grassland, sward (n)	
JfFsor[m*N	pasta-	to shake, wag, nod, flap (vb)	
Mk)Ul/z=vj	past	shaking (adj)	
eq+uYe5W_h	path-	to smooth (vb)	
oP@qzEPqGe	patha-	to reveal, show (vb)	
t=9x0=p7tO	pathu	level space, sward (n)	
Nf{.bjln4_	paur	fist, closed hand (n)	
"wnj/#_W@uS"	pavra-	to ail, be ill (vb)	
"c&.vM#g-s9"	pechol	hazel (n)	
uzQ+XE?P37	pech	nut (n)	
v}P<.ZK8S{	ped-	to say, speak (vb)	
hta5QSQA;c	pedh-	to incline, slope, ⚠️fall in steep slant (vb)	
vWut{X9eYO	pedui	*utterable, pronouncable, able to be spoken (adj)	
o?9!GV8@i=	pedweg	talkative, saying a lot (adj)	
Dy,>ZU`L$(	pel- (Motion and Transportation)	to fade, wane (vb)	
NG!qoi{I-j	pela(h)	along, (lit.) by the boundary of (prep)	
rwwg@XI}w0	peleth	waning, *fading (n)	
O{wLFIJe50	pell	still, quiet, hushed (adj)	
MBRV7-H+Ij	pemp	lip (n)	
z6F&S+02<E	pen (prep pref)	without, lacking, -less (prep pref)	
ms9(vr)2B`	pen (pron)	one, somebody, anybody; ⚠️[N.] Elf (pron)	
h=tPpYefz^	pen-channas	stupid, idiotic, *(lit.) lack-wit (adj)	
Au}H>x,IBx	pen-ind	insane, heartless, crazy (adj)	
pVYf;z28g	pen-	to have not (vb)	
faIwYtc+J^	penbed	not pronouncable (adj)	
Or*8qaaJ<%	pend	slope, steep incline, hill side, [N.] declivity; [S.] sloping (down), steeply inclined (n adj)	
d6aU!i9GO4	penestel	hopelessness, despair, desperation; hopeless, despairing, desperate (n adj)	
h3Tan%X-96	pengas	archery (n)	
C0mCEZV>L+	pengolodh	teaching sage, doctor (of lore), *professor (n)	
n.A2oBKmO(	pengron	archer (n)	
PJmKqI4K{%	penna-	to come down (in a slant), fall (vb)	
CB!quC~+z5	pennig	coin (n)	
"jF:WMd#Xjr"	penninor	full year (last day of year), *new year’s eve (n)	
fa=kc}Qk=S	pennod	without count (adj)	
r>,jVJK+rc	pennoediad	innumerable (adj)	
u?zvr};*Ao	per- (pref)	half (pref)	
LjayNtvO.W	perol	jar (n)	
"P7EF#Al}X1"	perthol	peninsula (n)	
oIO0Q4}@.t	pesgannas	syntax, study of syntactical structures, (lit.) shapes of phrases (n)	
Ae/gY@^g:i	pesgant	syntax, syntactical structure, (lit.) phrase-shape (n)	
tt5$Qg@X{K	pess (Body Parts and Functions)	feather (n)	
O6y<DFCW5?	pess (Language and Music)	saying, [G.] proverb (n)	
b;go@)YE}{	pesson	plume, (great) feather (n)	
s!!Sp`>4^W	pethgannas	morphology, (lit.) shapes of words (n)	
fG`QIyNwvA	pethgant	surface representation (of a word), (lit.) word-shape (n)	
kl1nt{TEh$	pethlongannas	morphophonology (n)	
gx;p(SJ`X[	pethron	speaker, reciter, [N.] narrator, minstrel (n)	
"xM,&ZHWa#]"	peth	word (n)	
e5Wwr?jRkx	pibin	small berry, haw (n)	
G`A,t+(!y.	pil-	to steal, rob, thieve (vb)	
k8J?C5}DKB	pilimbes	arrow feathering (n)	
KN9V(R3=yR	pilin(d)	arrow, [G.] dart (n)	
QFQ_Z7!z~E	pilinoth	arrow of war, arrow sent as a summons to war (n)	
A=>?;EyJz@	pillor	bat (animal) (n)	
j5}8z,4jsZ	pilu	stealing, robbery, theft (n)	
"Ce#NoXt!2_"	pind	crest, ridge (n)	
D.@N_(M$bh	pir-	to stir, stir round, make spin (vb)	
k&&M2CN7ND	piren	spun, rounded, cylindrical (adj)	
"lf24~5|j#L"	pirin	flower that opened and shut quickly with any change of light (n)	
dMHT6ru/G6	piruin	spinning wheel (n)	
M~@//niotn	pi	if (adv)	
g7OvN`WFt	plada-	to feel with the hand, stroke (vb)	
kdr!w>@.~-	plador	oar (n)	
nMRAvt5;g{	plad	palm, flat of the hand (n)	
i?$zp;n9qD	plant	flat, open, expansive; candid, blunt (of words) (adj)	
IGS3R</_&}	plinn	arrow (n)	
,A@py+0Cx	pog-	futuere, *to copulate, have sex (vb)	
n>aCM)Xhlz	pogron	fututor, *one who copulates (n)	
2NDhQb2:]	pol-	can, to be (physically) able to (vb)	
i]43lu0kQn	polch	trunk, torso (n)	
Ox%T(oi-8`	poll	ram (n)	
CS4sVrwM9i	polodhren	mighty, *powerful (politically) (adj)	
waZ}?v3$@t	polodh	power, might, authority (n)	
Hqk>X,nfaf	poltha-	to (physically) enable (vb)	
Vh@>RzU?Q	porogog	the clucking and noise of fowls (n)	
sG5j2arV&$	porog	fowl (domestic), *chicken (n)	
zfg)BtQz!3	posta-	to stop, cease, leave off, ⚠️rest (vb)	
JJ:n]QZ^hb	postad	stopping, cessation, leaving off (n)	
hhx}2R%({/	potha-	to tremble, quiver (vb)	
xC?dv|w:]C	press	trouble, disturbance (n)	
PL[|riytjT	pruin	charcoal (n)	
CDN)hH>mVI	prôg	fowl, hen (n)	
JOm&l*!w[a	puch	cunnus, vagina (n)	
yn6R6p]**M	puida-	to clean, tidy, cleanse, ⚠️purify (vb)	
M3kI`7yx|0	puidad	(act of) cleaning, cleansing (n)	
jG0b5L>HI/	puidh	wash, cleaning (n)	
cy%wSa$P~9	puiga-	to clean, wash (vb)	
udaB&=dvA.	puitha-	*to have sex (with) (vb)	
oz}pN%X^<^	puith	coitus, *sex (n)	
"J<>^ndQ#UJ"	pâd	a step (action); track, road; ford; [N.] way (n)	
CTGv&|+[G`	pân	all, *complete, entire, full, the whole (adj)	
m*|2V`1i$>	pêl	[N.] fenced field (n)	
wC8-uy4acJ	píeg	mosquito (n)	
I2s^uVy$yl	pítha-	to shoot (vb)	
O?=V{@*;9x	pîl	robber, thief (n)	
Lzo:{!ZPS(	pîn	little (adj)	
L*y{qFt]Ln	pîr	cream (n)	
Mu}fi5d{;M	pôg	bag (n)	
by{^9IvzGm	rach	wain (n)	
y)C*$IHW$I	radh-	to return (intransitive) (vb)	
i]R-$ncjO]	raebroch	zebra (n)	
eoK/+Q1@:y	raeb	scored, striped (adj)	
Nf$OA!?0mC	raeda- (Emotion)	to smile (vb)	
Cd,U):QX/}	raeda- (Motion and Transportation)	to catch in a net (vb)	
s-`7R/{J)/	raeg	wrong, [G.] awry, twisted, distorted, perverse, leering (of face) (adj)	
"s&$}^#dM//"	raen (Emotion)	smiling, gracious, sweet-faced (adj)	
stFA;5]vk-	raen (Motion and Transportation)	netted, enlaced (adj)	
opRO{/,z=@	raeth (Motion and Transportation)	extent, reach; region, sphere, district, scope (n)	
i5ez-D|nc%	raeth (Physical Acts and Materials)	breach, *burst (n)	
q3~/ZY+22a	raetha-	to reach at, reach for; to reach, extend (intr.) (vb)	
cIw550TK(A	raew (Spatial Relations)	fathom (n)	
Ak;7k6qWQi	rae	smile (n)	
e^_nk+nzWJ	rag-	to break (asunder), burst (vb)	
Og9K5PwnL^	ragui	fragile, breakable (adj)	
cHIl)4@~wz	rain (adj)	free, *unconstrained (adj)	
rQc6p`NH4n	rain (n, Motion and Transportation)	erratic wandering (n)	
cx:B.*>a7l	rain (n, Social Relations)	border (n)	
q2oG{APoHH	rammas	great wall (n)	
xESoV|fd,W	ram	wall (n)	
kJ{fg`yV2P	ran-	to wander (vb)	
g<.sn}lb?K	ranc	arm (n)	
i=JZ:YYu9C	randir	wanderer, wandering man, pilgrim (n)	
"s>*pKazMt#"	randis	wanderer (f.) (n)	
AA~A!Mvzcp	rand	cycle (n)	
IMZzM!D4|b	ranoth	month (n)	
*d~$:.|&n	rant	course, water-channel; lode, [N.] vein (n)	
"#&WvOZvb^"	raph-	to snatch, seize, steal (vb)	
JP`U06jTaf	raph	rope, strap (n)	
Quq{3p[pjX	ras(t)	cape, shore (n)	
pH(~jI]ZGT	rasg (Body Parts and Functions)	horn (n)	
ehq8Zdb1YX	rasg (Motion and Transportation)	wain, *wagon, cart (n)	
nw0^2V%@r}	rass	horn [of both animals and mountains] (n)	
"Am#d(VirLI"	rath	street; [N.] course, river-bed (n)	
ez0<z0:=Z[	raud (adj)	noble, eminent; lofty, high, tall; excellent (adj)	
l<0e65Wj$H	raud (n)	metal (n)	
G23@j<RW8,	raudh	hollow, cavernous (adj)	
E*yv15^d2{	raun	errant (adj)	
xhzOq<Bd?o	ravaed	skillful (adj)	
M/3&lCmoh`	ravn	wing (horn), extended point at side (n)	
wtjK-&3;Ds	raw (Animals)	lion (n)	
nI11(zyqrp	raw (Body Parts and Functions)	wing (n)	
cn!lR[B/nL	raw (Physical World)	bank (especially of a river) (n)	
lr$5e|F~+L	red-	to climb (vb)	
kkP[SNg[@*	redh-	to sow (vb)	
wCh?XjBkt6	redhia-	*to return (transitive) (vb)	
jbatsulg|%	redhin	related (adj)	
d)*xDp2[NI	redhor	farmer (n)	
e7=;L5I[(I	regil	mare (n)	
LIW,1SM]C[	rein	slot, spoor, track, footprint (n)	
i5VmNtEP?g	reitha- (Possession and Trade)	to rescue, save (from ruin, peril, loss) (vb)	
z$/f-?fN}>	reithron	rescuer, saviour (n)	
DC!,A]oRK=	rem (adj)	frequent, numerous (adj)	
pVmNP$(f%3	rem (n)	mesh, net (for catching) (n)	
Aty,CxClW{	remmen	entangled, meshed, netted, woven (adj)	
k.5J1lzP9<	ren-	to remember (vb)	
"A!Ya-,?m#V"	rend (adj)	circular (adj)	
NCc?F2N}N)	rend (n)	male cousin, relative (n)	
MIq|imika9	renia-	(1) to sail, fly; (2) to stray, wander (vb)	
r4^hd8^2bY	renna-	to remind (vb)	
iQ6A`3RK?;	rennas	kinship, relation (n)	
tp8.H*zJ~R	ress (adj)	cleft, cloven, separate (adj)	
zf.y!lN]3@	ress (n)	female cousin, relative (n)	
E?O<:=lWPQ	rest	[N.] cut (n)	
l)fWas.b0;	reth (Motion and Transportation)	*climber (n)	
K$B&r,aN^0	reth (Time)	endurance (n)	
b$bWm>oyLG	reth-	to remain in same place (vb)	
l[g|6fua~1	revia-	to fly, sail (vb)	
cKc$:hO9Yq	rhach	curse (n)	
nO.f30?rg0	rhae	easy (adj)	
"x_pG|n!##~"	rhanc	awkward, hard (adj)	
QPMxkV<nk!	rhaw (adj)	wild, [N.] untamed (adj)	
PTb>>(-P$x	rhaw (n)	flesh, ⚠️body (n)	
KZsa-8+)(_	rhib-	to scratch (vb)	
q;i4^TX*X.	rhofelf	body-feeling, [physical] sensation (n)	
wCjNkX<8K)	rhond	body (n)	
z-@doI%dtj	rhovan	wilderness; wild beast (n)	
z@*Jvydy=j	rhu-	evil- (pref)	
b](Makc,?o	rhudol	unwelcome, coming with evil omen or intent (adj n)	
F2k:$U`!$s	rhufaug	drunken (adj)	
v9]sZKH)o2	rhugarol	wicked, doing evil (adj)	
LUE+lo~fNn	rhugar	evil deed, *sin (n)	
GEw|Su)XN9	rhîw	winter (n)	
P{(l_KBwC$	rhúnen	eastern (adj)	
Kui/q)fJEf	rhû (n adj)	evil, wicked (n adj)	
"kOMc}IS#~9"	rhû (n)	matter (n)	
j+/W9~%}21	rhûd	dwelling underground, artifical cave, rockhewn hall, mine (n)	
B:.FjGJHxJ	rhûn	east, [N.] eastern; †rising (n)	
kvx:@nz}k(	rib-	to flow like a (?torrent) (vb)	
xtjcfw=<gv	ribin	striped, edged (adj)	
Od7?S.3<o;	rib	stripe, line; ⚠️shore; border, fringe (n)	
Mj+G.dvrm?	rig- (Motion and Transportation)	to twist, contort; *to confuse, disarrange, upset (vb)	
sjl`f!4A.r	rim (Physical World)	cold pool or lake (in mountains) (n)	
HSLk?KGvs$	rim (Quantity and Number)	host, great number, people (of one kind or origin), [N.] crowd (n)	
GHz?/6)+[*	rimp	shred, slice, sliver (n)	
Jq~<aZI[5,	rin-	to revolve, ⚠️return, come back; to do again (vb)	
CH+_LuezR_	rinc	twitch, jerk, sudden move (n)	
tt=jU-}dAv	ring	cold, chill, [G.] cool (adj)	
q*%k)&u+.5	riss	cleft, [N.] ravine; ⚠️cleft, cloven, separate (n)	
k:4-@R!9`u	rista-	to cut; to rend, rip (vb)	
H8h5^/ndpV	ritha-	to jerk, twitch, snatch (vb)	
z.1$D.2|h<	ro-	*superlative (pref)	
E^P~@Od_I9	rochir	knight, horse-lord (n)	
A`+@Mr/~hU	roch	horse (n)	
O9;-,/R)[1	rodel	lady, high lady (n)	
KwYEF][Y<i	rodol	little pipe (especially musical) (n)	
