#separator:tab
#html:true
#guid column:1
#tags column:4
"B-N|kF-#aW"	-(r)on; -or	agental suffix (suf)	
j5}8z,4jsZ	pilu	robbery; stealing; theft (n)	
"Ce#NoXt!2_"	pind	crest; ridge (n)	
D.@N_(M$bh	pir-	to make spin; to stir; to stir round (vb)	
k&&M2CN7ND	piren	cylindrical; rounded; spun (adj)	
"lf24~5|j#L"	pirin	flower that opened and shut quickly with any change of light (n)	
dMHT6ru/G6	piruin	spinning wheel (n)	
M~@//niotn	pi	if (adv)	
g7OvN`WFt	plada-	to feel with the hand; to stroke (vb)	
kdr!w>@.~-	plador	oar (n)	
nMRAvt5;g{	plad	flat of the hand; palm (n)	
i?$zp;n9qD	plant	blunt (of words); candid; expansive; flat; open (adj)	
,A@py+0Cx	pog-	to futuere; to have sex; *to copulate (vb)	
n>aCM)Xhlz	pogron	fututor; *one who copulates (n)	
2NDhQb2:]	pol-	can; to be (physically) able to (vb)	
i]43lu0kQn	polch	torso; trunk (n)	
Ox%T(oi-8`	poll	ram (n)	
CS4sVrwM9i	polodhren	*powerful (politically) (adj)	
waZ}?v3$@t	polodh	authority; might; power (n)	
Hqk>X,nfaf	poltha-	to (physically) enable (vb)	
Vh@>RzU?Q	porogog	the clucking and noise of fowls (n)	
sG5j2arV&$	porog	fowl (domestic); *chicken (n)	
zfg)BtQz!3	posta-	to cease; to leave off; to stop (vb)	
JJ:n]QZ^hb	postad	cessation; leaving off; stopping (n)	
hhx}2R%({/	potha-	to quiver; to tremble (vb)	
xC?dv|w:]C	press	disturbance; trouble (n)	
PL[|riytjT	pruin	charcoal (n)	
JOm&l*!w[a	puch	cunnus; vagina (n)	
yn6R6p]**M	puida-	to clean; to cleanse; to tidy (vb)	
M3kI`7yx|0	puidad	(act of) cleaning; cleansing (n)	
jG0b5L>HI/	puidh	cleaning; wash (n)	
udaB&=dvA.	puitha-	*to have sex (with) (vb)	
oz}pN%X^<^	puith	coitus; *sex (n)	
"J<>^ndQ#UJ"	pâd	a step; road; track; way (n)	
CTGv&|+[G`	pân (adj)	entire; full; the whole; *complete (adj)	
m*|2V`1i$>	pêl	fenced field (n)	
wC8-uy4acJ	píeg	mosquito (n)	
I2s^uVy$yl	pítha-	to shoot (vb)	
O?=V{@*;9x	pîl	robber; thief (n)	
Lzo:{!ZPS(	pîn; tithen	little (adj)	
L*y{qFt]Ln	pîr	cream (n)	
Mu}fi5d{;M	pôg	bag (n)	
y)C*$IHW$I	radh-	to return (to somewhere) (vb)	
i]R-$ncjO]	raebroch	zebra (n)	
eoK/+Q1@:y	raeb	scored; striped (adj)	
Nf$OA!?0mC	raeda- (Emotion)	to smile (vb)	
Cd,U):QX/}	raeda- (Motion and Transportation)	to catch in a net (vb)	
s-`7R/{J)/	raeg	awry; distorted; leering (of face); perverse; twisted; wrong (adj)	
"s&$}^#dM//"	raen (Emotion)	gracious; smiling; sweet-faced (adj)	
stFA;5]vk-	raen (Motion and Transportation)	enlaced; netted (adj)	
opRO{/,z=@	raeth (Motion and Transportation)	extent; reach; scope (n)	
i5ez-D|nc%	raeth (Physical Acts and Materials)	breach; *burst (n)	
q3~/ZY+22a	raetha-	to extend (intr.); to reach; to reach at; to reach for (vb)	
cIw550TK(A	raew	fathom (n)	
Ak;7k6qWQi	rae	smile (n)	
e^_nk+nzWJ	rag-	to break (asunder); to burst (vb)	
Og9K5PwnL^	ragui	breakable; fragile (adj)	
cHIl)4@~wz	rain (adj)	free; *unconstrained (adj)	
rQc6p`NH4n	rain (n, Motion and Transportation)	erratic wandering (n)	
cx:B.*>a7l	rain; tast	border (n)	
xESoV|fd,W	ram	wall (n)	
g<.sn}lb?K	ranc	arm (n)	
i=JZ:YYu9C	randir	pilgrim; wanderer; wandering man (n)	
"s>*pKazMt#"	randis	wanderer (f.) (n)	
AA~A!Mvzcp	rand	cycle (n)	
IMZzM!D4|b	ranoth	month (n)	
*d~$:.|&n	rant	lode; vein; water-channel (n)	
"#&WvOZvb^"	raph-	to seize; to snatch; to steal; to *rob (vb)	
JP`U06jTaf	raph	rope; strap (n)	
Quq{3p[pjX	ras(t)	cape; shore (n)	
ehq8Zdb1YX	rasg	wain; *wagon (n)	
nw0^2V%@r}	ras(s)	horn [of both animals and mountains] (n)	
ez0<z0:=Z[	raud	eminent; excellent; high; lofty; tall (adj)	
G23@j<RW8,	raudh	cavernous (adj)	
E*yv15^d2{	raun	errant (adj)	
xhzOq<Bd?o	ravaed	skillful (adj)	
M/3&lCmoh`	ravn	extended point at side; wing (horn) (n)	
wtjK-&3;Ds	raw (Animals)	lion (n)	
nI11(zyqrp	raw (Body Parts and Functions)	wing (n)	
cn!lR[B/nL	raw (Physical World)	bank (especially of a river) (n)	
lr$5e|F~+L	amrad-	to climb (vb)	
kkP[SNg[@*	redh-	to sow (vb)	
wCh?XjBkt6	redhia-	*to return (something) (vb)	
jbatsulg|%	redhin	related (adj)	
d)*xDp2[NI	redhor	farmer (n)	
e7=;L5I[(I	regil	mare (n)	
LIW,1SM]C[	rein	footprint; slot; spoor; track (n)	
i5VmNtEP?g	reitha-	to rescue; to save (from ruin, peril, loss) (vb)	
z$/f-?fN}>	reithron	rescuer; saviour (n)	
DC!,A]oRK=	rem (adj)	frequent; numerous (adj)	
pVmNP$(f%3	rem (n)	mesh; net (for catching) (n)	
Aty,CxClW{	remmen	(en)tangled; meshed; netted; woven (adj)	
"A!Ya-,?m#V"	rend (adj)	circular (adj)	
NCc?F2N}N)	rend (n)	male cousin; relative (n)	
MIq|imika9	renia-	to sail; to stray; to wander (vb)	
r4^hd8^2bY	renna-	to remind (vb)	
iQ6A`3RK?;	rennas	kinship; relation (n)	
tp8.H*zJ~R	ress (adj)	cleft; cloven; separate (adj)	
zf.y!lN]3@	ress (n)	female cousin; relative (n)	
E?O<:=lWPQ	rest	cut (n)	
l)fWas.b0;	reth	*climber (n)	
K$B&r,aN^0	bronwe; reth	endurance (n)	
b$bWm>oyLG	reth-	to remain in same place (vb)	
cKc$:hO9Yq	rhach	curse (n)	
"x_pG|n!##~"	rhanc	awkward; hard (adj)	
PTb>>(-P$x	rhaw (n)	flesh (n)	
KZsa-8+)(_	rhib-	to scratch (vb)	
q;i4^TX*X.	rhofelf	[physical] sensation; body-feeling (n)	
wCjNkX<8K)	rhond	body (n)	
z-@doI%dtj	rhovan	large beast; wild beast; wilderness (n)	
z@*Jvydy=j	rhu-	evil- (pref)	
b](Makc,?o	rhudol	coming with evil omen or intent; unwelcome (adj n)	
F2k:$U`!$s	rhufaug	drunken (adj)	
v9]sZKH)o2	rhugarol	doing evil; wicked (adj)	
LUE+lo~fNn	rhugar	evil deed; *sin (n)	
GEw|Su)XN9	rhîw	winter (n)	
P{(l_KBwC$	rhúnen	east[ern] (adj)	
Kui/q)fJEf	rhû	evil; wicked (n adj)	
"kOMc}IS#~9"	rhû; sith	matter (n)	
B:.FjGJHxJ	rhûn	east; eastern (n)	
kvx:@nz}k(	rib-	to flow like a torrent (vb)	
Od7?S.3<o;	rib	line; stripe (n)	
Mj+G.dvrm?	rig-	to contort; to disarrange; to twist; to upset; *to confuse (vb)	
sjl`f!4A.r	rim (Physical World)	cold pool or lake (in mountains) (n)	
GHz?/6)+[*	rimp	shred; slice; sliver (n)	
Jq~<aZI[5,	rin-	to revolve (vb)	
CH+_LuezR_	rinc	jerk; sudden move; twitch (n)	
tt=jU-}dAv	ring	chill; cold (adj)	
k:4-@R!9`u	rista-	to cut; to rip (vb)	
H8h5^/ndpV	ritha-	to jerk; to snatch; to strive; to try; to twitch (vb)	
z.1$D.2|h<	ro-	*superlative (pref)	
E^P~@Od_I9	rochir	horse-lord (n)	
O9;-,/R)[1	rodel	high lady (n)	
KwYEF][Y<i	rodol	little pipe (especially musical) (n)	
pA3[[yqbj8	rod	stem; tube; *pipe (n)	
nrZ[u)D(sO	rogol	saddle (n)	
"hI4c:B#Ss<"	romru	sound of horns (n)	
D}HTi;xI!{	rom	horn; trumpet (n)	
C+,Q7ZN!(0	rond	(vaulted or arched) roof; heavens [as a roof of the world]; vaulted chamber or cavern (n)	
kyv4P`(`mD	ronga-	to hasten (vb)	
ik~9t}(P`]	rong	soon (adv)	
yw48mzF65F	ross (adj)	copper-coloured; red-haired (adj)	
I6{RQot6QL	rostaur	rainforest (n)	
CJ;h8O8i3B	rost	rainy (adj)	
cB&D}S_e,i	rodhron	polisher (n)	
F~R>~^Cbxw	rov-	to tear (vb)	
x*sKUwsS-P	rovaed	[most] skillful (adj)	
uouJ_@gF+5	roval	great wing (of an eagle); pinion; winged (adj n)	
eUm}TjJeEc	ruida-	to chase; to pursue (vb)	
dY;}AG,g-R	ruin	fiery red; red flame (n adj)	
Lawkca]<RO	ruist	fireplace; hearth (n)	
Mb`>FKA5+$	rui	hunt; *chase (n)	
bJ}WGg.C<H	run-	to grind; to rub (vb)	
cpWS(NH&5^	runna-	to burnish; to polish (vb)	
B+nQuyk>6d	rustui	copper; like copper; *of copper (adj)	
eE)6*6h9y1	ruthra-	to rage (vb)	
Nl7(,)qlax	râd	track; way (n)	
h/R:!ul;gQ	rían	*(lit.) crowned-lady (n)	
C|)Oe~Bz=m	rídhas	countryside; farmland; the country (n)	
"eohjQ#OQe>"	rídhathren	rural; rustic (adj)	
jjv7z>H]Sz	rínada-	to coronate; to crown (vb)	
xNynQ8iY%Z	rîdh	acre; sown field; ‘sown’ (n)	
"Ol[{D#U|t6"	rîf	bark (n)	
I|;U_|mxi(	rîn (adj)	crowned (adj)	
iXo$BJDva6	rîn (n)	remembrance (n)	
o~<[PXns<F	rîth	effort; endeavour (n)	
Nb;MvP5rHM	rî	crown; garland; wreath (n)	
q]}~197p&$	rôn	liver (n)	
taj,Bm}&-R	rúthui	angry; wrathful (adj)	
C~fg+*hgz8	rûdh	bald (n)	
A.>o<uy.a9	rûn	burnished; polished; smoothed by polishing (adj)	
wmOD/g&}GD	rûth	anger; wrath (n)	
A/<`zBBM;|	rŷn	chaser; hound of chase (n)	
A&=BKtqXLS	sa	alongside; beside; next (to) (prep adv)	
>>Ak)Ex:/	sab-	to dig (vb)	
GTxIqXBgUy	sabar	delving (n)	
BMg[mz:E*?	sador	loyal; steadfast; trusty (adj)	
"oMUY]tDh`#"	sad	spot (n)	
l{+Iv_HfRc	saeb (adj)	hungry (adj)	
mVff0*Z6}M	saeb (n)	boot (n)	
h,^0R_}{f@	saeda-	to teach; to *train; (lit.) to make wise (vb)	
"p@2jp-g#Js"	saegon	(great) hunger; famine (n)	
"Q=jDe*#?p1"	saeg	hunger (n)	
"G#c>raE=(f"	saelas	wisdom (n)	
cIfX:pm8<A	saelor	advisor (n)	
hcrx5Um.+M	goll [ng-]; golwen [ng-]; idhren; noen; sael	wise (adj)	
J,sLu5@Ha;	saera-	to urinate (vb)	
Dy9oA6C<2L	saerlin	urine (n)	
"e#zK!8IbEi"	saetha-	to cause hunger (vb)	
MH/^z|:+-j	said	excluded; not common; private; separate (adj)	
"etwD#$6i,{"	sain	new (adj)	
LLuS0vb3;2	sai	those (pron)	
o%[k(deDQM	salcha-	to scythe or mow (vb)	
Bs(qPy244*	salch	ensilage; green cut grass (n)	
G2:$*j58$(	salph	broth (n)	
opr9|N_5_F	samp	shovel; spade (n)	
e0je[!ft4>	sant	field; garden; yard (n)	
"z3w</E#F3#"	sarch	grave (n)	
p{+15Es?uI	sardh	table (n)	
"qOP#l^s5(X"	sarneg	pebble (n)	
viNMniy7o	sarth	jot; note; scribbling (n)	
"dedMb#ujG0"	sath	part (n)	
r?33^=6}Dv	saur	bad (of food); putrid (adj)	
F*xIt<[k:u	sav- (Mind and Thought)	to accept as fact; to believe in (vb)	
gu2SE~8yOK	sav- (Possession and Trade)	to have (vb)	
BIU/uep+~2	saw (Sense Perception)	filth; putrescence (n)	
FDU[cVkvw~	sedh-	to rest (vb)	
fvD.,ZI7x]	seidia-	to appropriate to a special purpose or owner; to set aside (vb)	
g3R7ig4=V!	senc	flint; flinty; mineral-like (adj n)	
L~^}004P7=	send	?rest (n)	
sgUVk>0`H-	sennas	guesthouse (n)	
ES+[Xe||G@	sennui	instead; thisly; ?rather (adv)	
gMHjWzSNh{	seregon	plant with red flowers; stonecrop; (lit.) blood of stone (n)	
bwUkK0FMF3	serni	pebble bank; shingle (n)	
q|q7z-XOHY	sesta-	to set; (lit.) to make rest (on) (vb)	
FW{PN21^,[	sibra-	to whimper (vb)	
g5A{//@,Fe	siel	granddaughter (n)	
n7_&I]sRHJ	sigil (Clothing and Adornment)	necklace (n)	
u!Lwn_]gS$	silef (n adj)	(white) crystal (n adj)	
tg$~5j~47n	silevren	like silef (crystal) (adj)	
"y}0]_gL?,#"	silivren	(white) glittering; crystalline (adj)	
"PD#XlK3wkN"	sinc	*mineral (n)	
PU}M[XktY;	singren	salt; *salty (adj)	
jpcw_f&HU.	sing	salt (n)	
"jt#Bo>B6;H"	sinnen	known (adj)	
A;DJ:2Zg6r	sin	these (pron)	
nRJEdtI>=_	sion	grandson (n)	
I^>`LiG;X{	siriol	flowing; fluent; liquid; mellifluous (adj)	
EnV]/I8GdY	sirith	flowing (n)	
"iC:,Mk#0L{"	sith	affair (n)	
JXM4yUqd9Y	soethor	drinking-horn (n)	
"p0Ew&y;9#7"	solph	soup (n)	
k~}r0}uen	somma-	to dive; to duck (vb)	
nVaJIss8y|	sommor	duck; waterfowl (n)	
C/=(77hblR	sov-	to bathe; to wash clean (vb)	
NTo.&;Kbcg	suilad	greeting (n)	
F5tNtmuQ6d	suilanna-	to greet; to *give greeting (vb)	
Iypp<%zmP0	suith	a drink; draught (n)	
vL_l~0uYCC	sui	*as (prep)	
"r0#%U*[l&t"	sunt	nostrils (n)	
lB>$d>5c)0	sâdh	sward; turf (n)	
"xeH/#<mTA]"	sídheb	full of peace; peaceful (adj)	
g+?mzm8unZ	sír	this day; *today (n)	
CL_P,h?[Y(	sí	here; in this place (of speaker) (adv)	
kTl?RWZ7&`	sîr	river; stream (n)	
e{;s[gDno[	sî	hereto; hither(to); yet (adv)	
z0L/R8oJw6	súda-	to blow (of wind) (vb)	
cO/m9;-!9g	sûl (Physical World)	[strong] wind; *gust (n)	
gxI}i~>t6s	sûn	bath (n)	
INa}SX|-8g	sû	noise of wind (n)	
f[FgxOAwxI	tab-	to block; to close; to stop (vb)	
O]ASxO<dQL	tachol	brooch; clasp; pin (n)	
cX,<5gOEoK	tad-dal	two-legged; *biped (adj)	
r@_)DNWN3(	tadhos	hawthorn (n)	
wtV(lr~X&*	taeg	boundary line; limit (n)	
np{8UGuW0X	taer	lofty; straight (adj)	
K:(,XO,x4O	tag-	to fix (vb)	
v!]HRDXZSH	tagol	mark; post (n)	
"K#={z{:XR_"	tagron; tân	smith (n)	
zZDg?.Fcm.	taid	second in command; supporting (adj)	
bb^Gw6L.]]	taig	marking (a boundary) (adj)	
"NPQB#eW<O1"	tain	epistle; letter; missive (n)	
Oz^_{t=zU;	tair	vertical; (lit.) standing (adj)	
x[H|~[m=l/	taith	mark; sign; stroke; symbol (n)	
"mns##ySx*/"	talagan	harper (n)	
lsBa*{8ega	talan	flat space; flet; flet [Middle English = ‘floor’]; platform (n)	
EP,.=)BnPz	talath	flat lands; vale (n)	
pz9g{`e{,j	talf	flat field; topographical flat area; wang (n)	
urAMgv:y<S	tallam	conlang (n)	
QzmK6oq/]]	tallen	fun(ny); playful (adj)	
p2=4o*4xWE	tallif	ankle (n)	
E>blW[.O=;	talphressui	mischievous (adj)	
oW(vB(^}wt	talphres	mischief; (lit.) play(ful)-trouble/disturbance (n)	
h%z/[rqZwb	talraph	stirrup (n)	
F8}{WkMCD*	taltha-	to collapse; to slide down; to slip (vb)	
Cuc@Xlnm`R	taloth	footpath (n)	
KP5mTeN::a	tammos	cauldron (n)	
r{qWG{Zj]g	tana-	to indicate; to point out; to show (vb)	
wBLyNm&}!H	taphaen	twenty (cardinal)	
F`daJXrhjv	tar-	to stand (vb)	
tZ2sE4lj;,	tarchas	roughness; rudeness; ruggedness (n)	
tU7P2P-W_U	tarch	rough (or tough); stiff (adj)	
eZu]p]>-(5	tarlang	obstinate; proud; stiff neck (a nickname applied to men of haughty carriage or mood); (lit.) stiff-necked (adj n)	
tW[nPJw$qk	tarph	dry [esp. of foods]; stale (adj)	
onBy)DKdgQ	tasta-	to (put to the) test; to *verify (vb)	
z>iTT}7wrQ	tastaith	test (n)	
I=r>`>;~s[	tast	fringe (n)	
w}k/]TSQ)l	tathar	willow (tree) (n)	
j|(7JEKYr4	tathren	of willow(s) (adj)	
vKmh_!|Nxs	taugla-	to resist (vb)	
M@,BtL)kv`	taug	firm; strong; (?withstand) (adj)	
LT_~HX]nbo	tauron	forester (n)	
b[>0aEEHT<	tavnen	fashioned; made (by craft of hand); wrought (adj)	
jsGPx7ry$.	tavn	thing made by handicraft (n)	
Bpi+Pz*%VT	taw (adv)	thither (adv)	
B,Gv[fco2U	taw (n)	wood as material (n)	
f3:rW_5Z^D	tawen	wood (of material); wooden (of make) (adj)	
mDVeB2$.sC	tewch	chip (n)	
jRdo@BFB]F	tegil	pen (n)	
x?m]U|%yyL	tehar	brick (n)	
Q+[F/__sc)	teitha-	to draw; to inscribe; to make marks or signs; to write (vb)	
jE?BenTJ:0	tel-	to be done; to end; to finish (vb)	
tV^TZy:iKv	teleg	leg (n)	
iUaQS7exH(	telf	anything used to finish off a work or affair; conclusion; ending (n)	
wzq}W:~E*h	tellyn	sole of foot (n)	
"uhtn5.+gD#"	tell	final (in a series); last (adj)	
bRvO.Q!([-	telt	lid (n)	
B)nH1MXzWH	telum	mushroom (n)	
nD[ZG(c`ux	tengolu	semantics (n)	
yE-(@}+FrF	tent	toe (n)	
f|5k<34T[X	ten	passive voice marker (pron)	
BAm1b(f1||	tertha-	to destroy (vb)	
u&>GPX+J+_	terthas	destruction; ruin; waste (n)	
A<Vkjxp^CK	tev-	to detest; to hate (vb)	
xJ4&YR<7]v	tevas	hatred (n)	
"zK#<7gUPe]"	tevren	hateful (adj)	
h9-7W7[FLt	tewig	morpheme (n)	
y6H{Y43XzX	thaes	attraction; temptation (n)	
vR|b~cwq]E	thag-	to draw; to pull; to split (vb)	
KTG&k*-:$;	thagel	luring; pulling (adj)	
Cf:U}UwcKV	thain	according to custom; formal; law-abiding; normal; regular; *lawful (adj)	
FJKJH$ow{x	thalas	courage; valour (n)	
bWwbk!);)M	thalieth	dauntless woman; heroine (n)	
AM@:lB1UbE	thalion (adj n)	dauntless; dauntless man; hero; strong (adj n)	
cZWo6KD<{M	thall	falling steeply (of river) (adj)	
GxX9.qFpZb	thalos; thórod	torrent (n)	
CIPOWiF^s-	thalph	grease (n)	
z^DngTxCUL	thanc	bifurcated; breach; break; cleft; cloven; divided; forked; split (adj n)	
cQ7{%[UV5s	thand (adj)	abiding; firm (adj)	
"Os#|>uqO<g"	thand (n)	shield (n)	
lD3F>aSwIt	thangail	shield-fence; shield-wall (n)	
d~eh1gV4lq	thar-	to saw (up) (vb)	
"ERQ;U+k#d_"	tharan	vigorous (adj)	
eQELISM2Uf	tharchol-	to translate; (lit.) to carry-across (vb)	
B~DSYC?Dw/	tharf	saw (n)	
"p#JwI8cs9$"	thar	across; athwart; beyond; over (prep pref)	
"Hm67e#ZJi#"	thas-	to shave (vb)	
h3XhBHLx{o	thasgim	razor; (lit.) shave-blade (n)	
syo`dS)hfN	thasg	shaven (adj)	
s3$U3ry.PM	thast	shaving(s) (n)	
n*I&}3!@dK	thaur	abominable (adj)	
lodDuC5yCs	thavn	post; wooden pillar (n)	
xf.;D[t!QM	theinweg	lawman; lawyer (n)	
BU|C$AfL9U	thel-	to intend; to mean; to purpose; to resolve; to will (vb)	
L%^IudmA<5	thennas	shortness (n)	
l2(cIO4vB?	ther-	to sew (vb)	
INx+>)?Sif	theres	ribbon (n)	
rB7RS5*)qg	theria-	to be vigorous; to flourish (vb)	
A@7PS;)Io,	theriol	flourishing (adj)	
N@?j`-E|]x	thibinor	piper (n)	
g^95n?iKEI	thibin	flute (n)	
M|vSE(p}pV	thimma-	to play a flute or whistle (vb)	
Pn*>Ar`d!)	thimp	the stop on a flute (n)	
IZ.WS0R~:n	thim	milk (after separation) (n)	
x)SP8@D!v:	thirph	straw (n)	
x/OM1oc)$G	thisin	parched; *desiccated (adj)	
qx|H<5.Js1	thista-	to dry up (vb)	
mo^8~_aRr~	thiv-	to skim (vb)	
ob]b5D{L1H	thivol	piccolo; whistle (n)	
voBihQ105y	tho-	to *will be (vb)	
w*qE9c7KG1	thond	base; root (n)	
CXC@qsZ!w!	thorn	steadfast (adj)	
P@1M*0dliD	thornang	(lit.) hard-iron (n)	
owS[@X%[V;	thorombar	eagle’s nest; eyrie (n)	
D6eH0zaHK;	thossui	afraid; fearful (adj)	
iw*i9C@*q@	gor [ng-]; nifred; niphred; thoss	fear (n)	
cv?Q^w[0Wg	thostol	stinking (adj)	
M+8$HhWF1$	thos	puff (of air) (n)	
F[H(Jk;VnA	thriben	lean (adj)	
J|F}m@o.Td	thrimp	stalk (n)	
F9E``MBi[^	thuis	any adhesive substance; resinous juice (n)	
CZ(gt^AphS	thâf	hay (n)	
Q@7*rA-*V<	thôl	helm (n)	
EGV7]E4O&y	thôn	pine-tree (n)	
yi4ad.MZU`	thúna-	to be spiritually affected; to inspired (vb)	
s+Ip;zyJ/F	thúnas	inspiration (n)	
k!hlC}Uq-a	thû (Emotion)	movement of spirit (n)	
"ArT^5#.j6-"	thû (Sense Perception)	black mist; horrible darkness (n)	
B{v1^5vC=@	thûg	resin (n)	
Cmfbq$_EjC	till (Spatial Relations)	(sharp) horn; ending; spike; tine (n)	
i9&KF6V;H~	timp	hoot; note of a flute (n)	
j[]BVH8%+?	tin	them (pron)	
N~mnaaUl$4	tingen	metallic (adj)	
PiiAT|=A7	tiniath	constellation; group of stars; star-cluster (n)	
GKAI<ypGAe	tinnu	(starry) twilight; early night (without moon) (n)	
NAW4R?LC4}	tinthiltha-	to twinkle; to *sparkle (vb)	
"O0?#X^!OM."	tinthilthad	scintillation; sparkling; twinkling (n)	
wA&IlQPB-B	tiph-	to whistle (vb)	
FWatolDe+I	tiphin	small flute (n)	
G75<)C^I8M	tir-	to guard; to look (towards); to watch (over) (vb)	
p5(T1KSlOI	tiria-	to gaze; to guard; to ward; to watch (vb)	
oQd3AX^-Y9	tirith	guard; guarding; ward; watch; watching (n)	
fSkCeYjLD~	tirnen	guarded (adj)	
d}]V6Bw:xz	tisga-	to tickle (vb)	
G3=zJZ,}=A	tisg	ticklish (adj)	
(N;!H|M,E	tith	breast [of a woman]; teat (n)	
G:+9{sVw_U	ti	*they (pron)	
H!Pas&:C&9	tobla-	to hide (vb)	
"Az#w)FxrMF"	toch	cud (n)	
l*m5HVD_L+	tol(l)	(high steep-sided) isle; island (n)	
F5Xjq.Q9bz	tol-	to come (vb)	
bNKu?,W,1I	tolcha-	to comfort; to support; to *steady (vb)	
e}i$@x*faz	toled	arrival; coming (n)	
Gm?BWM.IoS	tolf	mast (n)	
Ax_-.i=Ku$	tolophaen	eighty (cardinal)	
AgN9D}n$Ia	tolpheg	spoon (n)	
lkh_ym0Nf2	tolph	basin; bowl (n)	
n%9s<x*Q!V	tomp	bulging; humped (adj)	
NK*COmt>_c	tond	tall (adj)	
lG-%q)eW+:	tor-	to have victory; to win (vb)	
CH`VKv,8Fb	torchal	shark or other large predatory fish (n)	
yS>i(DGN_|	torech	(secret) hole; excavation; lair (n)	
bS_99)u~)g	torn	burial mound (n)	
t4s0t_u]8I	tosta-	to cough (vb)	
nT&^~k-U:*	tovn	lowlying (adj)	
s:K,fx|Hjq	trannail	[of the] shire; local; *regional (adj)	
eubU:wD3Na	trann	administrative region; shire; *county (n)	
dQ;|1FZfQ_	trastadweg	annoying (adj)	
h^cU/tQW5p	trog	convenient; docile; easy to handle; tractable (adj)	
d}evvP%7N`	trunc	great stake (n)	
kXR(4dBJ7o	tudheg	match (n)	
rA-%gT]tIf	tudh	tinder (n)	
g/zf)27!d.	tuig	sapling; shoot (n)	
x)3!4/7|GR	tuilas	petal; (lit.) bud-leaf (n)	
P1&L;!~zWI	tump (Dwelling and Furniture)	shed (n)	
bg).e7Mv~H	tum	(deep) valley; vale (n)	
KgAL=tR)JF	tunc	chance; occurrence (n)	
JH;@rmagM[	tund	fuel; hill; log for the fire; mound; *firewood (n)	
i*I[GfxHrc	tâd	two (cardinal)	
hWj1}^/0IN	tâl	(lower) end; [lower] end; foot (n)	
"kd{ufU#*)f"	tân	artificer; builder; wright (n)	
AkXDj)?3+n	tew; têw; tîw	letter (n)	
hdguujq0$M	tíra-	to see (vb)	
FZQeh|qF6j	tírad(a)-	to correct; to rectify; to straighten (vb)	
wSI-GL36EY	tírad	seeing; vision (n)	
iR0Lla),Nh	tîf	bitterness; ill feeling; resentment (n)	
Mcx1^x<WV3	tîl	cicatrice; healing of a wound; scab (n)	
lSlQnL>7Ko	tîn (adj)	quiet; silent (adj)	
neb$L-;,o%	tîn (pron)	his (pron)	
nso7B??~q]	tódhi	paddock (n)	
ilkYUxnDKW	tô	fleece; wool (n)	
"yQiQiqhV#."	túgomui	corpulent; (lit.) having a fat belly (adj)	
bp4$`biSw:	túgom	fat-bellied (adj)	
O/zq42sn$T	túliel	having arrived; having come (adj)	
JhOoZ4?c*9	tûr (Social Relations)	mastery; power [over others]; victory (n)	
EZ>:Svt2:a	tŷg	thigh (n)	
n.sSn`XuW.	ui-	twi- (pref)	
O/IoZ4&IxY	uial	evendim; twilight (n)	
"J$KMO#WVhh"	uil-	to rain (vb)	
Ji~;qq+Ib0	uilos	white flower like a star (n)	
hZKFczSfO	uir (adj)	*fiery (adj)	
C2A]TUH[>{	uitha-	to smoke (trans.) (vb)	
DP0Q5}KP^6	ui	ever (adv)	
uu&Ht1x`kz	ulunn	deformed and hideous creature (n)	
m^2?f/VmTC	unt	nothing (n)	
q]4%[4Yx]!	urnui	inflammable; irritable; touchy (adj)	
H-Olo?d=0g	urug	bogey (n)	
d,z$DaNp~z	uru	brazier; grate (n)	
kay(G3e?<i	uthwen	escape; exit; way out (n)	
Pn`O?sbXlB	uwedhen	outcast; outlaw (adj)	
me,H<33FgA	uwedhron	outcast; outlaw (n)	
lE7AnBi9ZR	ylf	drinking-vessel; *cup (n)	
"t35V#&uR4J"	ylin	liquid (adj n)	
w_)+vEo`{J	ylvon	chalice (n)	
P@+McFAYHh	Úrui	August; *Hot-one (n)	
"d/lh#gvaY?"	ínias	annals (n)	
K:1yIx8&Le	íphathred	age of person; yearfullness (n)	
dcx=k0LN}y	írui	desirable; lovely (adj)	
B[V.o+dBn:	î(r)	impersonal plural pronoun (pron)	
NfqkPcwz@I	îdh	peace; repose; rest; tranquility (n)	
cDxdEs6[NG	îf	cliff; sheer descent (n)	
"r#Zes~-@B~"	în (n)	year (n)	
Mb[&$~g+xn	în (pron)	his; *reflexive possessive = his own (pron)	
Hh6RMrF=pr	î	indeed (interj)	
wRhhyR`Riu	ôf	hood (n)	
pyBpis+1M_	ú-	bad-; impossible; negative; no; not; un (pref)	
K}Anx_T$y[	úbedui	not fit to say; unspeakable (adj)	
g4k{A~iDFO	úben	no one; nobody (n)	
Kh5Q9`LaK~	úgan(n)	diffident; faint-hearted; gutless (adj)	
v$B-Yr{6pw	úgarol	idling; not now doing or making (adj)	
iWc501T|~7	úgarth	trespass; *(lit.) misdeed (n)	
rIbN0|:@Nu	úgethiol	boring; (lit.) not interesting (adj)	
B?V3?9B64h	úlam	dumb; unable to speak; (lit.) untongued (adj)	
sF[K_AKfyC	úlren	odorous (adj)	
x]j:X$8yZ$	únodui	countless (adj)	
hMVH=YM*Ky	úthaes	inducement to do wrong; *temptation (n)	
q)>i=sDE_@	úthúlui	breathless (adj)	
