#separator:tab
#html:true
#guid column:1
#tags column:4
c+<k:Ye%i%	-(i)llo; -ilco; -stë	you (dual) (suf)	
I1I`2k/c?O	Máya	angelic spirit (n)	
g@7j.<*Tl`	Narquelië	October; Sun-fading (n)	
nB*IX&TXcV	Narvinyë	January; *New-fire (n)	
dWy`[b!.-(	Nárië	June; *Fire-ness (n)	
ltX{^708&*	Nénimë	February; *Wet-ness (n)	
"l/rebrfo#|"	Perian (Periand-)	Halfling (n)	
Rb8s%XHTM3	Portucalëo	Portuguese (n)	
kSp15$opr,	Quenderin	Quendian; belonging to the Elves as a whole; of the Quendi (adj n)	
z>0:i*s$5G	Quenyarin	*of Quenya (adj)	
KX,WWI/`EC	Quenya (Language and Music)	Elf-latin; Elvish; High-elven (n)	
Pw(`&DA7a>	Ringarë	December; *Coldness (n)	
xouuWU@Y1N	Romënórin	Roman (n)	
"K}5r%:sI4#"	Sindarin [þ]	Grey-elven (n)	
I0<1k1JV~c	Sindel (Sindeld-) [þ]	Grey-elf (n)	
"e#]c|M/r$;"	Súlimë [þ]	March; *Windy-one (n)	
MU~AM(27i$	Torco	Troll (n)	
PA/JHMGd`9	Tyena	China (n)	
IwawS,4Tx$	Tárion	alternate name of the last day of the Eldarin six-day week (n)	
iB|e;d6e,-	Valanya	Vala-day; *Friday (n)	
p/|BHfA=-X	Vala	(Angelic) Power; Authority; God (n)	
oXme~`%gMg	Valië	Female Vala (n)	
oj3X+4y&vM	Víressë	April; *Freshness (n)	
nl&C~3RxQm	Yavannië	September; *Yavanna-ness (n)	
iCjuRaD~GO	a	O; Oh (interj)	
megXY*Th]!	accal-	to blaze; to shine (suddenly and) brilliantly (vb)	
je?+U}TXP)	accamatië	over-eating (n)	
D*~:/2*S0X	accamátala	over-eating (adj)	
m{tD<y=Vi7	accasucië	over-drinking (n)	
b{0FjdqY9H	accasúcala	over-drinking (adj)	
"P#XjDx;$`8"	ahtarië	reaction (n)	
iQjqIrliq&	ahtarulas(së)	responsibility; (lit.) aptitude to react (n)	
ng4Qg2yy&s	ahto	maker; wright; *[lesser] craftsman (n)	
Bt8(DkOvc+	ahya-; virya-	to change (vb)	
LbpI:RK%p>	ai (adv, Mind and Thought)	maybe; suppose; supposing; *any (adv)	
Q)v~)^JhU$	ai (interj)	ah; alas (interj)	
Km(c4bemp<	aia (adj, Social Relations)	strange; unusual (adj)	
Bq$-[J7~%U	aia; alla	hail (interj)	
xz%JwUbXq<	aian	holy thing or object or place (n)	
w]<afWy%jQ	aica	dire; fell; sharp; terrible (adj)	
ml20:Bn|l*	ailumë	anytime (adv)	
bS;]bFZ$Xm	aimahto	martyr; (lit.) blessed slain (n)	
ioLE2EZF>Z	aimanen	however (adv)	
rfy|4,REOE	aimo	saint (n)	
va>d7MPStR	aina-	to bless; to hallow; to treat as holy (vb)	
EzqOf.4[{n	ainas (*ainass-)	fane; hallow; holy place; sanctuary; *shrine (n)	
KUcv=*1;%2	aina (Religion and Beliefs)	holy; numinous; revered; *divine (adj)	
eW=aZ(ehy/	ainima	blessed; holy (of things) (adj)	
hS?Zc!o4xp	ainolóra	godless (adj)	
h1`_NN0?Z^	ainolórië	godlessness (n)	
z~Te^[?+m-	ainomë	anyplace; anywhere (adv)	
g<Q1({kQ%{	aino	god (n)	
"Pt>h,3wjP#"	aipio; pio	cherry (n)	
yV3GgmXc5I	aiqualë	a steep [thing]; steepness (n)	
v1vH|y`u-6	aiquassë	precipice (n)	
E3J%0p+um[	aiquen	anybody; if anybody; whoever (pron)	
%WznbPhPq	airasëa [þ]	hyssop (n)	
"iEg#EKcF#@"	aira	holy; sanctified; worshipful (adj)	
Lf1/Ozi{hR	airemma	icon; (lit.) holy image (n)	
y}JCkQXWS4	airilírë	hymn (n)	
sL$&YZyZQW	airimossë	priesthood (n)	
HNeag>u.Kt	airimo	priest (n)	
OoZq:PWI9h	airita-	to hallow (vb)	
Da()>XVDn|	airë (airi-)	holiness; holy; sanctity (adj n)	
B|P;;,>!DH	airëa	holy (applied to persons) (adj)	
D2|)Lh5*B/	airë; ëar; ëaren	sea (n)	
MW)e^44Osn	aita- (Emotion)	to astound; to shock; to surprise; (orig.) to make aghast (vb)	
"t-#JT--~y0"	aita- (Religion and Beliefs)	to revere; to worship (vb)	
oi=jZ=31Cn	aitalëa	religious; reverent; worshipful (adj)	
C5bQE,t$56	aitalë	religion; reverence; worship (n)	
AKOqh*aM]?	aitë	of any sort; of some sort (adj)	
,0.bl[HVz	aivë	anyhow; anyway; in any way (adv)	
FO9b[w&ss-	aiwë	(small) bird (n)	
"n#~L{ft0V4"	aiya	behold; hail; lo (interj)	
i}vtwm&Ww1	al(a)-	in-; negative prefix; not; un- (pref)	
h@u5c2Dyv:	ala- (Agriculture and Vegetation)	to flourish (of other creatures); to grow (of plants) [intr. and trans.]; to plant; *to thrive (vb)	
Q]fFuw4LfV	alafasta	orderly; tidy (adj)	
rE211A3E?>	alahen (alahend-)	eyeless (adj)	
MGd6H,Vpur	alahta-; hyasta-	to rush (vb)	
mq_?|o)F7u	alahírima	impossible to find; unfindable (adj)	
dhGbU_}1Gr	alaica	blunt (adj)	
NQ4HseG*]b	alairë	unholy (adj)	
eSq0VsS44s	alalla-	*to keep on growing (vb)	
e3aoGq/u&f	alaloitala	unfailing (adj)	
w{?VQ4ZUP/	alalvëa	having many elms (adj)	
"F6?Pw#uWd)"	alamen	good omen on departure (n)	
KDTX+MgReq	alamirwa	cheap; not expensive; not precious (adj)	
nR1{Dz;bOm	alamo	cultivator; grower (n)	
n?5b%m(LMY	alamára	no-good (adj)	
L}-KJ6je6F	alanessë	nicotiana; pipeweed; *tobacco (n)	
P9!Mx6Xf(4	alapihta	unshrunk (adj)	
w+j7vuxU(&	alapulúna	unfermented; unleavened (adj)	
u8(YO+z5A	alaquenta	well (happily) said (adj)	
s/&_p2gdw;	alarya-	to be happy or merry; to rejoice (vb)	
u}4[e+s.vx	alas (alast-)	marble (n)	
mLuZcEPyl<	alasaila	unwise (adj)	
q@Ql/QuQJz	alasatya [þ]	common; general; *communal; (lit.) not private (adj)	
JK0)*+sy|L	alassëa	happy; joyful; *merry (adj)	
goi!b?u?ud	alassë	happiness; joy; merriment (n)	
r&Er|`^`I3	alasta-	to cheer (up); to make happy (vb)	
Ka$G&Z`%[=	alasta	marble; of marble (adj)	
I=}EtH8ZN`	úhwalda	unwashed (adj)	
saXrpwR^Q]	alatya-	to shield [against]; to ward off (vb)	
tf+/|c,mnH	alavahtaina	undefiled (adj)	
HSFF%)bUKd	alca-	to flash; to glitter; to *shine out (vb)	
PSCTSmFj34	alcarin(qua)	brilliant; glorious; radiant (adj)	
HLxduo{CNI	alcarvalda; laitima	honourable (adj)	
dN);>uu4>$	alcarya-	to glorify (vb)	
w:iK3O6*](	aldarembina	tree-meshed (adj)	
oWr0&PAt(I	alda	tree (n)	
FFb_ypG;ku	aldëon (aldëond-)	avenue (of trees) (n)	
HP82?[GuOy	aldinga	tree-top (n)	
"q^fQv`j#E_"	aleldarin	unelvish (adj)	
o;Jp&Q)p:,	alenessë	nicotiana; pipeweed (n)	
c/-x_QPd:h	alermaitë (alermaiti-)	abstract; non-concrete (adj)	
l6W6L|1&z)	alima	fair; good (adj)	
"O`M#R,{^?z"	alla (interj, Language and Music)	welcome (interj)	
c?gMcLVR:a	almiën	cheers; (lit.) to good fortune (interj)	
"h>FN{:GYt#"	almë	blessing; good (or blessed) thing; piece of good fortune (n)	
gDz@}3Z|W:	alon (alond-)	limestone; (lit.) grow-stone (n)	
nt<NfYcT)=	alqua	swan (n)	
"Eef#&sQm{Y"	altarnië	empire (n)	
xjbn7Nz5F(	alumo	leather-worker (n)	
MC=yd2L_Mp	alu	(dressed) leather (n)	
MK)=^zVm+=	alya-	to bless (a work); to cause to prosper; to help one (vb)	
Fls&JrCW3H	alya	abundant; prosperous; rich (adj)	
M2/GhZ?&:F	am(be)na	nearer to (adv)	
Qk8nd_>e-b	am-	up; upwards (pref)	
y%cGz|q`bf	amacarastië	upbuilding (n)	
y0128[Tb1t	amapta-	to ravish; to seize and carry off forcibly (vb)	
GWStQIxi)@	amaquat-	to fulfill; (lit.) to up fill (vb)	
eywl?H=_IV	amaurë	dawn; early day; morning (n)	
w[4!+MW%)<	amavil-	to fly up; to soar (vb)	
"r=b$D{}#ep"	amba (adj pron)	more (adj pron)	
iQom@XYH~6	amba (adv)	up(wards) (adv)	
Cv=CN5A/1D	ambahep-	to maintain; (lit.) to upkeep (vb)	
e@9-}-q33o	ambalasar (ambalasarn-)	stalagmite; (lit.) up-growing stone (n)	
b%6;L4zqo{	ambalotsë	uprising-flower (n)	
ptY@V(@c|s	ambar (ambart-)	doom; fate; lot (n)	
Ig@Xt2LQ=]	ambarya	global; international; world-wide; worldwide (adj)	
Iq1w0=cw56	ambarónë	Orient; dawn; sunrise; uprising (n)	
q8]O5EHWl7	ambela	far away beyond; further still beyond (adv)	
"FV@]#LlXYj"	amboraxosta	rib cage (n)	
C5f@_R1[g9	amboremma	bust; (lit.) breast-picture (n)	
rd-H0EV[2%	ambos (ambor-)	breast; *chest (n)	
x&%f3.Z9Fq	ambostulco	bra; (lit.) breast-support (n)	
crpkUreiw<	ambo	hill; rising ground (n)	
GZ]}X.Y|uC	ambuna	hilly (adj)	
fLfBa)mR8S	ambë	more (adv)	
"p&*V4/a6#u"	amilessë	mother-name (n)	
g8xOI1=:eo	amilosto	metropolis (n)	
lhw8uw$?wx	amna	almost (adv)	
I+[(U?]-M:	amorta-; solta-	to heave (vb)	
xm3kU1IB66	ampa	crook; hook (n)	
D;p`lAM;$h	ampollië	great effort; struggle (n)	
OYK:ZI>=W=	ampícië; undë	less (adv)	
v?YVv0gsqs	an(a)	alongside; to; to a point near; towards (prep)	
"soQMY9]Hw#"	an(da)-; ar(i)-	superlative prefix (pref)	
k)p=va_9:.	anahtai	although; even though; (lit.) against-that-which (conj)	
HUy;p:s-3H	analelya-	to approach (vb)	
kBR75*)u3w	anasirë	tributary (n)	
n[[e$/GY0S	anastorna	*extremely hard (adj)	
RfduE)v*!Z	anat; apa; pá	against (prep)	
D%r_!iA~^W	anca	jaw; jaws; row of teeth (n)	
s&((Bnc2Zp	ancárima	easy; (lit.) very doable (adj)	
ORETKeiuBp	andalango	giraffe; (lit.) long-neck (n)	
D,/c=y8h~	andamacil	long sword (n)	
rI`z.u}YL-	andanyarro	ferret; mink; polecat; stoat; weasel; (lit.) long-rat (n)	
P:0dlv+K/l	andanéya	long ago; once upon a time (adv)	
nqo9eYg7KJ	andarestë	long-suffering; patience (n)	
ID{]yG6~st	andarma-	to crash (vb)	
uNj]by8|^o	andatehta	long mark; long-mark (n)	
cmxl9COg2r	andavë	at great length; long (adv)	
e&Igg!a*Bi	anda	far; long (adj)	
NnURSC/&hr	andorië	dock; landing (place) (n)	
f|{V~x:I/c	andorya-	to dock; to land (vb)	
hl_pvl}w5T	andosan (andosamb-) [þ]	vestibule; (lit.) gate room (n)	
"s!IZ917V^#"	andë	length (n)	
fikAZ=Z@kt	andúnë	evening; sunset; west; (orig.) going down (n)	
m^o?qYIV)j	andúta-	to lower (vb)	
y/*dWub&iy	anessë	given (or added) name; nickname; surname (n)	
PAh2.Y$J%=	angal	mirror; *reflective surface (n)	
I`,8w!a/7X	angamendar (angamendár-)	train station; (lit.) iron way-stop (n)	
is*sq=|G:F	angatië	railroad track; railway line; (lit.) iron-road (n)	
F3WWz}sL$5	anga	iron (n)	
"Rh#EI@o&5W"	angulóceluntë	dragon boat (n)	
N$],p$wW3S	anna	brought or sent to a person; gift; *present; (orig.) thing handed (n)	
su]1||Sptg	annún	at least (adv)	
k;`o6j)Q~V	anqualë	*death agony (n)	
Exh;gzFjZa	anquantaina	complete; thoroughly filled (adj)	
K2OW-<Q2Fm	anqua	against; opposite (adj adv)	
ezO7&t0C/<	anta-	to give; to present (vb)	
KYOX%6i*_:	antac-; céquenusta-	to apply (vb)	
B$(P+44yV;	anta	cheek; face; *front of the head (n)	
Cfo:<q/d+N	antelwa	later; (lit.) very late (adj)	
h~zJ@![W$K	antorya-	to strengthen [of sound] (vb)	
Pt0zi&P?(u	antoryamë; turyandë	strengthening (n)	
t@vo8cT1<<	anwa	gift (n)	
C{Cu%o^~U3	anya-	to arrive at; to go to; to reach; to succeed (at something) + infinitive; *to manage (vb)	
GRTkX92FZS	anyaitië	distance of capability; range; reach (n)	
oDs9Px*0,V	anyára	elder; *senior (adj)	
D.V(q]~wnm	an	but; for; furthermore; moreover; or; then (conj adv)	
W72,qRPv+	ap-	to affect; to concern; to touch one (vb)	
KsON*:*;&K	apa	on (above but touching); touching (prep)	
Eh9=&+)D|-	apa; epë; pó	after (of time) (prep)	
o){o^@hgNx	apacendo	prophet; seer (n)	
rUm}?_GE/u	apacenya	of foresight (adj)	
C^<+csv!6A	apacen	foresight; *(lit.) after-sight (n)	
uu}Azd,LS[	apanaina-	to regret; (lit.) to after-lament (vb)	
"IR#`p;GG`x"	apanta-	to display; to open; to reveal; to show (vb)	
H@[mv$C1/4	apantië	display; *revealing (n)	
NO2*!d:I@=	apaquet-	to forebode; to foretell; to predict (vb)	
"ka24a^@$F#"	appa-	to touch (vb)	
PJRb@2[bgJ	appalë	feeling [physical]; sensation; sense of touch (n)	
A{yH?{0|{)	apsen-	to forgive; to release; to remit (vb)	
n_cZ^agkTg	apta-	to deny; to refuse; to say nay (vb)	
vpq}{v14!t	apterya-	to fix; to repair; (orig.) to make ready again (vb)	
t)(0.:t^1J	aquapahtië	privacy; *(lit.) full-closedness (n)	
zHd^^9*e}s	aqua	altogether; completely; fully; wholly (adv)	
i-g7I[VsfS	ar(a)-	high; noble (pref)	
w-oxE?R@vL	ar-	beside; by-; near; outside (pref)	
y%UkZkQe4:	aralussë	aorist; (lit.) beside-tense (n)	
O$J9pZ-|X	aramallë	side-street (n)	
Fti|bV--V*	arandil	king’s friend; royalist (n)	
xvivwE+bQv	arandur	minister; steward; (lit.) king’s servant (n)	
F^%<m2]Fc}	aranel	princess (n)	
iJic(G%47=	aranië	kingdom (n)	
L}&K@jc9Wg	aranta-	to turn over; (lit.) to give by (vb)	
tp-hf)U:-4	arantyalmë	chess; (lit.) king-game (n)	
g@+W%;@XG:	aranus(së)	kingship (n)	
ziBWf8EgSM	aranya	*royal (adj)	
K7^*S]W*xO	aran	king (n)	
t96B{x>!*5	arasso	(male) deer; hart; stag (n)	
sNq(u.8D(x	arca-	*to petition (vb)	
kMxw6<~&Nn	arcandë	*petition (n)	
wM~5pI^HDS	arcólima	equivalent; (lit.) beside-bear-able (adj)	
"Fz55B1>/4#"	ardahyalma	[planetary] crust (n)	
pCSWt`U4&l	arimaitë	[most] skillful; *gifted (adj)	
wcbI`7J`F$	arinwat	breakfast; (lit.) morning-meal (n)	
v>IuRM,lDI	arma	ray of sunlight (n)	
D{}|m(TxWR	aromundo	auroch; kine of Araw (n)	
cfHDPCyieN	arosto	outskirts (of city, town); suburb(s); suburbia (n)	
Ouu9%1vk|z	arpo	seizer; thief (n)	
Md(}1=H,Zd	arquen	knight; noble (n)	
Nx7ChF->R@	arrongo	promptly; right away; very soon (adv)	
ugH/4|?DvA	artanwa	award (n)	
Nce0$7PLf7	artapano	chessboard (n)	
"JtvP%tAiQ#"	arta (adv)	etcetera (adv)	
hPv`ZkS}_|	arya-; lahta-; ráta-	to excel (vb)	
A@Of[{_fhs	aryata-	to improve (vb)	
CJUGN.Yf0d	arya	excelling; *best [with definite article + genitive]; *better; *prefer [with dative] (adj)	
kusI^o@6R@	aryonië	inheritance (n)	
FcwCC^i|ny	aryë	also; as well; besides; too (adv)	
o~0TNmeKko	aráto	champion; eminent man; lord; noble (n)	
c+,Q,hG`rS	arëa	close; nearby (adj)	
qAP;_pL>$a	arë (adv)	along; beside; near (adv)	
yFIDu8PpV|	as(a)- [þ]	easily (pref)	
rJlF/XYJ1(	asahanyë [þ]	of course; understandably; (lit.) easily understood (adv)	
F*T(0+{3J[	asalastë [þ]	easily heard (adj)	
l{.5f30Vk?	asamahtë [þ]	simple; (lit.) easily handled (adj)	
l0Zx}4h6qS	asar [þ]	festival; fixed time (n)	
ywcfcCq^Wr	ascara	impetuous; rushing; violent (adj)	
JJ)r6mOqa7	ascarë [þ]	easily done (adj)	
bvfe_,L{nj	ascárima [þ]	easy [to do] (adj)	
NnODX`A3wp	ascénië [þ]	obviously; *(lit.) easily seen (adv)	
mbG>H|!cV]	asië [þ]	comfort; ease (n)	
stC.e2F~Ar	asquétima [þ]	easy to say (adj)	
O[B?Lte-}b	asta-	to bake (by exposure to sun); to heat (vb)	
Ef{TEK*0O)	astaincë	particle (n)	
g5p$4Xo&%F	astai	whereas; (lit.) beside-that-which (conj)	
i2g8.+S_[c	astalda	*valiant (adj)	
qS3k5FOqx?	astal	valour (n)	
GcTIScR/Nl	astamo	member (n)	
PzQRrW90|d	astarmo	bystander; witness (n)	
qHx&F-A$dc	astar	faith; loyalty (n)	
yr0Z?-s)fK	asta	division; month; part (esp. one of other equal parts) (n)	
zh6uI!;<cE	asya- [þ]	to assist; to comfort; to ease (vb)	
QLAKF7;;6Y	asyar [þ]	assistant (n)	
rVxPC?N%Z`	asëa aranion [þ]	asëa of the Kings; kingsfoil (n)	
cARsK3&/Eb	asëa [þ]	healing herb (n)	
s?8Lw%>+3n	at(a)-	[repeat a] second time; again; back; bi-; double; re-; twi- (pref)	
reSX&)r.2P	at-	to capture; to catch (vb)	
"JFRTF?b!#2"	ataformaitë	ambidextrous (adj)	
"pnh$#cQ[,<"	atahenta-	to revise; (lit.) to re-examine (vb)	
KYbwKmV%+U	atalantëa	downfallen; ruinous (adj)	
rAzWWb:hkE	atalantë	collapse; downfall (n)	
gDdi^}J!O@	atamaitë	two-handed (adj)	
KQ:[7dV$`D	atamenta-	to transmit (vb)	
r_I4)]U9~	atamentië	transmission (n)	
KW=NyYB1P}	atamir	heirloom (n)	
jLgA^W,JIC	atannahtar	man-slayer (n)	
hNM;lh[,?|	atapengëa	bilabial (of consonants) (adj)	
cHdI;aTAp,	ataquanta-	to double fill; to fill a second time; *to refill (vb)	
e[!f86!~ox	ataquer	bicycle; bike (n)	
h$(9C)g?[s	atar	father (n)	
eY[rz,O8WJ	atatya; atwa	double (adj)	
I8Z_.`s&Ao	atesta-; pententa-; quet-	to mention (vb)	
pJV>Oy6I&R	atsinta-	to recognize (vb)	
"h^/k#Q(7-~"	attalya	biped; *(lit.) two-footed (n adj)	
Nt&p*E4k8Z	atta	two (cardinal)	
C:@wmeC*tj	attindo	doubt; (lit.) two mind (n)	
zTDF,9eW3z	attië	couple; group of two; pair (n)	
E}G<wJ9@St	atto	daddy; father (familiar/family); father (hypocoristic) (n)	
cn)q*K[;-j	atya	(my) father; daddy (n)	
I28DYp/ZWd	atyenárë	anniversary (n)	
fdIm}L{3p`	au (Mind and Thought)	if only (adv)	
By~dOMZ^}H	au (Spatial Relations)	away; not here (of position); off (adv)	
"p#zfVw/.L3"	au-	away (from) (pref)	
k7;Jek,T+H	auca	foolish (adj)	
"zKjkot=#+O"	aucelië	sewer; (lit.) away-flowing (n)	
zfP$.M;&9I	aucir-	to cut off (and get rid of or lose a portion) (vb)	
Q+A:BpFx|a	aucië	foolishness (n)	
uE,/K=6(>@	auhanta	garbage; refuse; trash; (lit.) thing thrown away (n)	
"jOys#4liQu"	aulerya-	to free somebody of something; to rid (vb)	
COZ%Jf)~;o	aumanca-	to sell; (lit.) to trade away (vb)	
v<*0E6h.V=	aumapando	abductor; (lit.) away-seizer (n)	
F68)nP)rZ*	aumenta-	to dismiss; to divorce; (lit.) to away-send (vb)	
"wq>Tb#?uQX"	aumentalë	dismissal; divorce (n)	
"b.H:#*D?Oz"	aupenya	complete; without lack (adj)	
v(-Rcr,)u0	auqua	awkward; clumsy (adj)	
DZ;<D{Y{{L	auquer-	to reject; (lit.) to turn away (vb)	
"o#)juj;xFE"	aura	possession; thing owned (n)	
mVc{M[Ge*B	aurehen (aurehend-)	dandelion; (lit.) day-eye (n)	
x]*(}}eM@P	aurië	wealth [of possessions] (n)	
ea)]X+QNO.	aurëa	sunlit; sunny; *daytime (adj)	
lW[J?C[e94	aurë	day (as opposed to night); daylight (n)	
v/mCPPVMQ+	ausatië	especially; (lit.) setting aside (adv)	
w,{]P!W~n*	ausa [þ]	dim shape; spectral or vague apparition (n)	
v!5+IZcruM	aut (auc-)	clumsy fellow; fool (n)	
bS2uSrUh~i	auta- (Motion and Transportation)	to [variant: vanya-] to pass away; to be lost; to depart; to disappear; to go (away); to leave (vb)	
dAb/aikOe@	autaila	going away; passing away (adj)	
J]/VxWqGHV	autas (*autass-)	a former occur[rence] (n)	
M}7wP)VLYY	autulya-	to deport; (lit.) to bring away (vb)	
L^2zS6*)sh	autulyalë	deportation (n)	
CwOexa.W4e	auvië	possession (abstract); *the act of possessing (n)	
D1RHMj3d{,	ava (adv adj)	beyond; exterior; outer; outside (adv adj)	
lm4z@lBU[h	ava (interj)	strong or curt refusal (interj)	
utc]]CoQKY	ava-	to forbid; to refuse (vb)	
O~P$[RBh^K	avalerya-	to deprive of liberty; to restrain (vb)	
h*hemo;tS/	avamarwa	homeless (adj)	
ARs0gO0KPK	avamat-	to fast; (lit.) to refuse to eat (vb)	
IKIbJ$wAR+	avanev-	to avoid; (lit.) to refuse to face (vb)	
sSlJOBL]Bo	avanir	unwill (n)	
z}Gu*I9-[g	avanwa	banned; forbidden; refused (adj)	
NB3T&|+CE8	avanyárima	not to be told or related; unspeakable; what one must not tell (adj)	
IDU<F<1fnC	avaquétima	not to be said; that must not be said (adj)	
A{6;HjQu!G	avarta-; hehta-	to abandon (vb)	
l)A2x&c(r0	avatup-	to expose; to uncover (vb)	
Qt}tr0(Bmm	avatyar-	*to forgive; (lit.) to do away with (vb)	
sSG8cb5*F6	avëalta-	to resemble closely (vb)	
FDEOkx2Jiv	axanwëa	logical (adj)	
eex~Jr^q@4	axanwë	logic; (orig.) law of thought (n)	
eAOOt+1o`q	axan	[divine] law or rule; commandment (n)	
b4ct|sd^P3	axendë	marrow (n)	
N>2NZzV<1/	axosta	skeleton (n)	
x-<XhJ<1iJ	axo	bone (n)	
M9{V72H{-E	axula	bony (adj)	
xXqfyz9fef	axë (axi-)	steel (n)	
b{(=*}Gx[c	axë	neck [vertebrae]; rock ridge; *(upper) spine (n)	
Mk8CqE[G,J	axína	(of) steel; *like steel (adj)	
J!9q>?)5Dm	ca(na)sta	one fourth; *quarter (fraction)	
vjCQAq4~Gm	ca(ta)	after; at back of place; behind (prep)	
l]X-_5Hi;F	cacanna-	to advertise; to announce repeatedly; to herald; to propagate (vb)	
nr9mtL~_l1	cacannalë	advertisement (n)	
"Z/r*x#SV3"	cacátu-	to design; to shape or fashion slowly (vb)	
srN~_i47CL	cacáva	cocoa (n)	
Gv1*5+!L/.	cahta	cause; motive; reason (n)	
"kl#KO|g7PV"	caimenya	horizontal (adj)	
Bgh~Jr;%7q	caimen	horizontal direction (n)	
FPAA|z:&R]	cainu-	to [with locative] to endure; to lie down; to suffer (from); to *bend down (vb)	
El:Mb0eOy)	caira	eager [to do] (adj)	
sJxg5xuZ!A	caita-	to lie (down); to place; *to lay (transitive) (vb)	
Jn?ruh]|$E	cal-; sil-	to shine (vb)	
Q>(D,e7SIG	calaina	serene (adj)	
bFs.t7EY7s	calainë	serenity (n)	
dyfOM9FFDp	calambar	*light-fated (adj)	
xrx0+Xda[E	calampa	spoon (n)	
r-r&$)=h3u	calarus (calarust-)	polished copper (n)	
J2w~p4W>ua	calarwa	optical (adj)	
z,7iT8m0BV	calar; calma	lamp (n)	
K`%wn!w@&D	calas (calass-)	brass (n)	
nq}m)Xkm$h	calassina	brazen; *made of brass (adj)	
"b#4<1O|^9H"	calatengwë	photograph; (lit.) light-writing (n)	
AFfvoEL.4K	calcata-	to glaze (vb)	
J}Mr0!c{0@	calca	glass (n)	
yJ+y+Gcd:p	calcëa	glassy; of glass (adj)	
B;^BN|&I-y	calima	bright; luminous (adj)	
F;rfiPoUAU	calina	bright; light; sunny; (lit.) illumined (adj)	
Dd;G=!`~V]	calleva	fair (weather or complexion) (adj)	
t-JfT@/d8v	callië	heroism (n)	
Ou2VvOTGc>	callovëa	hero-like; heroic (adj)	
z:A1c`Ru2}	callë	blue sky; clear sky; fair weather (n)	
g;lT|)1N?<	calmatan	lampwright (n)	
NEowCJb*6l	calmatarma	lampstand (n)	
uG/?9MRy*F	calmatéma	k-series (n)	
Exwc[!H9TO	calta-	to (cause to) shine; to kindle (lamp etc.); to light up; to set light to (vb)	
d|0Dw;if<T	calwa	lurid (adj)	
b=?f?RLn=s	camba	(cupped) hand; hollow of the hand (n)	
mL&~p6|?!u	cambië	gain; income; intake; profit (n)	
NAsP^`KyI8	camma	receptacle (n)	
f_A_{N_PQr	campo	flea (n)	
stmi{JQP_R	cava-	to contain; to hold (vb)	
Q*iY>wgm&F	can-	to claim; to demand (when applied to things) (vb)	
o4*$WcVlNC	candóla	crown of head (n)	
HC*$Js7NsD	canguru	kangaroo (n)	
iU-<az<jI&	canta (cardinal)	four (cardinal)	
m0^6{jFXiU	canta (n)	frame; framework; shape; shaped (n)	
p0OWN-v]6%	cantallumë	four times (adv)	
Gr(lW0b824	cantalya	four-legged; quadruped; (lit.) four-footed (adj n)	
h;}:hhi*K}	cantemma	sculpture; shaped image (n)	
mq_Dpcc>_u	cantil (cantild-)	quadrangle; rectangle; square; *quadrilateral (n)	
"B(xT52~o#t"	cantilya	quadrangular (adj)	
I-aG^k*zNN	canton (cantond-)	soapstone; (lit.) sculpted rock (n)	
hA[R;ek6Jx	cantëa	fourth (ordinal)	
rQr|JDhC!u	canuina	of lead (adj)	
Q,{Q,@B@~E	canuva	leaden (adj)	
II)JcFcKi4	canu	lead [metal] (n)	
maYmBA81^H	canwa	announcement; order (n)	
FTsl36Z7hO	canya-	?to command (vb)	
"Fb=w#Y&JYb"	capaitë	bounding; leaping (adj)	
ns,1=zp^m2	capanda	jump (n)	
"mpVuZ~V#!D"	caraitië	activity; business (n)	
m:nop<siI|	caraitë (caraiti-)	able to make; active; busy; craftsmanlike; crafty; handy; skilled (adj)	
j(Ao-K<lzE	caras (caras-)	lettuce (n)	
kwhg7_-tx?	carassë	built fort or dwelling surrounded by bulwarks (n)	
i/1qJ6>O/K	carasta-	to construct (vb)	
gCLVw*rF6C	carastanyarro	beaver; (lit.) build-rat (n)	
tR9PD1^+(/	carasta	construction; making; manufacture (n)	
K~jdnD};/y	caraxë	jagged hedge of spikes; row of spikes or teeth (n)	
s&)zeK:^Z@	carcapolca	boar; *(lit.) tusk-pig (n)	
h8Y?tg%%Z	carcaran	crocodile; (lit.) toothed-beam (n)	
N48At;*HGo	carcara	toothed (adj)	
fosgCJ&PC`	carcasarma [þ]	large saw (n)	
"xqagw#p63m"	carda	deed; *action (n)	
jWoe?p,,/F	cariëndë	process of manufacture; production (n)	
"b:k#:W4N|Z"	carina (Physical Acts and Materials)	done; finished; made (adj)	
EDEzGj|M2u	cariquetta	verb (n)	
c!|PaQOHpf	carië	doing; making (n)	
bRyse-&FG!	carmatan (carmatam-)	toolsmith (n)	
B?Og&Z:B~H	carmen (carmend-)	recipe (n)	
v:A!`DU.T)	carmë	making; production; structure (n)	
w@>sdxXUHY	carniambos	robin; (lit.) red-breast (n)	
hxX_wgfl,-	carnë (carni-)	red; scarlet (adj)	
nM!|.[Y}{2	carpalos [þ]	tulip; (lit.) hat-flower (n)	
juqeL.63:g	carpë	hat (n)	
jluz:srFjj	carranta	strategy; (lit.) action-course (n)	
jfruyiwHPN	carrëa	tressure; *headdress (n)	
xJi.|N+4V=	cas (car-)	head; top (n)	
LU`*+tZw4C	cas(ta)	to(wards) the top; upwards (adv)	
