(a)moth|fen; marsh (n)
othra-|to escape; to get away (vb)
othrad; rath|street (n)
othren|odd; strange; weird (adj)
othrol|warlike (n)
othrond|fortress; underground city; underground stronghold (n)
oth|ye (pron)
ovor|abundant (adj)
ovra-|to abound (vb)
ovras|crowd; heap (n)
o|*than; about; concerning (prep)
pad-|to step; to walk (vb)
padhra-|to flay; to peel; to skin (vb)
padra-|to walk (vb)
pae; paean; sath|ten (cardinal)
paedolodh|eighteen (cardinal)
paegan|fourteen (cardinal)
paeleben|fifteen (cardinal)
paeneder|nineteen (cardinal)
paeneg|sixteen (cardinal)
paenel|thirteen (cardinal)
paenui|tenth (ordinal)
paetha-|to speak; to talk; to utter (vb)
paethad|oratory (n)
paethas|grammar; speech-system (n)
paethron|orator (n)
paeth|speech (n)
pagra-|to pave (vb)
pagros|pavement (n)
paib|sour (adj)
paich|*sap; juice; syrup (n)
palan-díriel|far-gazer (n)
palan-hinnen|*(lit.) widely-known; famous (adj)
palan-tîriel|*far-gazer (n)
palan|abroad; afar; far and wide (adv)
palath|surface (n)
palt|page of book; wide flat leaf (n)
pan (Quantity and Number)|*grouping; arrangement; settlement (n)
pan (Spatial Relations)|arrangement; place; settlement; spot (n)
pan-|to arrange; to order; to place; to put; to set; to write a book (vb)
panas; talaf|floor (n)
pand|courtyard (n)
panna-|to enlarge; to open (vb)
pannad(a)-|to fill (trans.) (vb)
pannen; sam|arranged; done; settled (adj)
pant (adj)|(with article) the whole; all the; full (adj)
pant (n)|money (n)
panu|(musical) theme; arrangement; ordering; plan; structure (n)
paran|bare; shaven; smooth (adj)
parchol|towel (n)
parf|book (n)
parlas|document (n)
paron|full-moon (n)
partha-|to arrange; to compose (vb)
partham|library (n)
parth|enclosed grassland; field; sward (n)
pasta-|to nod; to shake; to wag (vb)
past|shaking (adj)
path (adj)|smooth (adj)
path (n)|fine bark (paper); peel; skin of fruit (n)
path-|to smooth (vb)
patha-|to reveal; to show (vb)
pathra-|to fill (intr.) (vb)
pathred|fullness (n)
pathren; thossui|fearful (adj)
pathu|level space; sward (n)
paur|closed hand (n)
pau|sickness (n)
pavra-|to ail; to be ill (vb)
paw|*illness; ailment; sickness (n)
pechof|squirrel (n)
pechol|hazel (n)
ped-|to say; to speak (vb)
pedh-|to incline; to slope (vb)
pedui|*utterable; able to be spoken; pronouncable (adj)
pedweg|saying a lot; talkative (adj)
peg|dot; small spot (n)
peidion|sayer; soothsayer (n)
pel-|to fade; to wane (vb)
pela(h)|along; (lit.) by the boundary of (prep)
peleth|*fading; waning (n)
pelia-|to spread (vb)
pell|hushed; quiet; still (adj)
pelthaes|pivot (n)
pelu-|to enclose; to fence (vb)
pemp|lip (n)
pen (prep pref)|-less; lacking; without (prep pref)
pen (pron)|anybody; one; somebody (pron)
pen-channas|*(lit.) lack-wit; idiotic; stupid (adj)
pen-ind|crazy; heartless; insane (adj)
pen-|to have not (vb)
penbed|not pronouncable (adj)
pendrath|passage up or down slope; stairway (n)
pend|declivity; hill side; slope; sloping (down); steep incline; steeply inclined (n adj)
penestel|despair; despairing; desperate; desperation; hopeless; hopelessness (n adj)
pengas|archery (n)
pengolodh|*professor; doctor (of lore); teaching sage (n)
pengron|archer (n)
penia-|to fix; to set (vb)
penna-|to come down (in a slant) (vb)
pennig|coin (n)
penninor|*new year’s eve; full year (last day of year) (n)
pennod|without count (adj)
penn|declivity (n)
pent|story; tale (n)
per-|half (pref)
perin|half (adj)
perna-|to turn (vb)
perol|jar (n)
perthol|peninsula (n)
pesgannas|study of syntactical structures; syntax; (lit.) shapes of phrases (n)
pesgant|syntactical structure; syntax; (lit.) phrase-shape (n)
pess (Body Parts and Functions)|feather (n)
pess (Language and Music)|[sic.] saw; a saying; proverb; saying; to say (n)
pessa-|to affect; to concern (vb)
pesseg|pillow (n)
pesson|(great) feather (n)
pethgannas|morphology; (lit.) shapes of words (n)
pethgant|surface representation (of a word); (lit.) word-shape (n)
pethlongannas|morphophonology (n)
pethron|minstrel; narrator; reciter; speaker (n)
peth|word (n)
pibinaith(ros); pinaithros; tadhos|hawthorn (n)
pibin|haw; small berry (n)
pichen|*oozing; juicy (adj)
pictha-|to make urine (vb)
piectha-|to pin (vb)
pigen; tithen|tiny (adj)
pigwed; saer|bitter (adj)
pil-|to rob; to steal; to thieve (vb)
pilimbes|arrow feathering (n)
pilin(d)|arrow; dart (n)
pilingwathil|feathering of an arrow (n)
pilinoth|arrow of war; arrow sent as a summons to war (n)
pillor|bat (animal) (n)
pilu|robbery; stealing; theft (n)
pimp|tail (n)
pind|crest; ridge (n)
pir-|to make spin; to stir; to stir round (vb)
piren|cylindrical; rounded; spun (adj)
pirin|flower that opened and shut quickly with any change of light (n)
piruin|spinning wheel (n)
pista-|to suppose (vb)
pi|if (adv)
plada-|to feel with the hand; to stroke (vb)
plador; plados|oar (n)
plad|flat of the hand; palm (n)
plant|blunt (of words); candid; expansive; flat; open (adj)
podod|potato (n)
podra-; ponta-|to retrace; to turn back; to turn round (vb)
poen|petrel; small gull (n)
pog-|*to copulate; to futuere; to have sex (vb)
poiant|stern (n)
poi|aft (on a ship) (n)
pol-|to be (physically) able to; to can (vb)
polch|torso; trunk (n)
poll|ram (n)
polod; polodh|authority; might; power (n)
polodhren|*powerful (politically) (adj)
poltha-|to (physically) enable (vb)
polwed|strong (physically) (adj)
polwin|strength (physical) (n)
pont|reverse or far side; the back (n)
porochuil|hen (n)
porogog|the clucking and noise of fowls (n)
porog|*chicken; fowl (domestic) (n)
posta-|to cease; to leave off; to stop (vb)
postad|cessation; leaving off; stopping (n)
post|cessation; halt; pause; respite; rest (n)
potha-|to quiver; to tremble (vb)
press|disturbance; trouble (n)
presta-|to affect; to disturb; to trouble (vb)
prestannen|affected (of vowels); mutated (adj)
prestanneth|affection (of vowels); mutation (n)
pridu-|to decide (vb)
pridwen|judgment (n)
prind|distinction (n)
pruin|charcoal (n)
puch|cunnus; vagina (n)
puibra-|to cleanse; to soap; to wash (vb)
puida-|to clean; to cleanse; to tidy (vb)
puidad|(act of) cleaning; cleansing (n)
puidh|cleaning; wash (n)
puig|neat; tidy (adj)
puitha-|*to have sex (with) (vb)
puith|*sex; coitus (n)
pâd|?way; a step (action); track (n)
pân (adj)|*complete; all; entire; full; the whole (adj)
pân (n)|fixed board (especially in a floor); plank (n)
pêl|fenced field (n)
píeg|mosquito (n)
pítha-|to shoot (vb)
pîl|robber; thief (n)
pîn; tithen|little (adj)
pîr|cream (n)
pôd|animal’s foot (n)
pôg|bag (n)
quing|bow (n)
rachui|dangerous (adj)
rach|danger (n)
rada-|to find a way; to make a way (vb)
radh-|to return (intransitive) (vb)
raebroch; ribrog|zebra (n)
raeb|scored; striped (adj)
raeda- (Emotion)|to smile (vb)
raeda- (Motion and Transportation)|to catch in a net (vb)
raeg|awry; distorted; leering (of face); perverse; twisted; wrong (adj)
raen (Emotion)|gracious; smiling; sweet-faced (adj)
raen (Motion and Transportation)|enlaced; netted (adj)
raeth (Physical Acts and Materials)|*burst; breach (n)
raeth; raith (Motion and Transportation)|district; extent; reach; scope; sphere (n)
raetha-|to extend (intr.); to reach; to reach at; to reach for (vb)
raew|fathom (n)
rae|smile (n)
rag-|to break (asunder); to burst (vb)
ragui|breakable; fragile (adj)
raibros|(female) zebra (n)
raim|border-line; edge (n)
rain (adj)|*unconstrained; free (adj)
rain (n, Motion and Transportation)|erratic wandering (n)
rain (n, Time)|anniversary; year complete (n)
rain; rib; rim; tast (n, Social Relations)|border (n)
raitha-; reitha-|to strive; to try (vb)
ram(m)as|*great wall (n)
rammas|great wall (n)
ram|wall (n)
ran-; renia-|to wander (vb)
ranc|arm (n)
randir|pilgrim; wanderer; wandering man (n)
randis|wanderer (f.) (n)
rand|cycle (n)
ranoth|month (n)
rant|lode; vein; water-channel (n)
raph-|to seize; to snatch; to steal (vb)
raph|rope; strap (n)
ras(t)|cape; shore (n)
ras-|to toast (vb)
rasc|toast(ed bread) (n)
rasg|*wagon; cart; wain (n)
rass|horn [of both animals and mountains] (n)
rath (Body Parts and Functions)|a measure = 2 feet; one’s reach; the extent of one’s arm; the full arm (n)
rath (Motion and Transportation)|river-bed (n)
raudh|cavernous (adj)
raud|eminent; excellent; tall (adj)
raug|demon; powerful hostile and terrible creature (n)
raun|errant (adj)
ravaed|skillful (adj)
ravn|extended point at side; wing (horn) (n)
raw (Animals)|lion (n)
raw (Body Parts and Functions)|wing (n)
raw (Physical World)|bank (especially of a river) (n)
red-|to climb (vb)
redh-|to sow (vb)
redhia-|*to return (transitive) (vb)
redhin|related (adj)
redhor|farmer (n)
redhos|land (n)
rein|footprint; slot; spoor; track (n)
reitha- (Possession and Trade)|to rescue; to save (from ruin, peril, loss) (vb)
reithron|rescuer; saviour (n)
rem (adj)|frequent; numerous (adj)
rem (n)|mesh; net (for catching) (n)
remmen|entangled; meshed; netted; woven (adj)
ren(d)|cousin (m.); relative (n)
ren-|to remember (vb)
rend|male cousin; relative (n)
renia-|to sail; to stray (vb)
renna-|to remind (vb)
rennas|kinship; relation (n)
ress (adj)|cleft; cloven; separate (adj)
ress (n)|cousin (f.); female cousin; relative (n)
rest|cut (n)
reth-|to remain in same place (vb)
reth|*climber (n)
rhach|curse (n)
rhaed; rhîd|(special) fashion; peculiar hue (n)
rhaid-|to hustle; to rush (vb)
rhaid|a rush(ing) (n)
rhanc|awkward; hard (adj)
rhaw (adj)|untamed; wild (adj)
rhaw (n)|flesh (n)
rheidiant|set free (adj)
rhess|ravine (n)
rhib-|to scratch (vb)
rhimma-; rib-|to flow like a (?torrent) (vb)
rhofan|wilderness (n)
rhofelf|[physical] sensation; body-feeling (n)
rhogrin|doughty (adj)
rhoidia-|to let go (vb)
rhond|body (n)
rhosc|brown; russet (adj)
rhovan|wild beast; wilderness (n)
rhu-|evil- (pref)
rhudol|coming with evil omen or intent; unwelcome (adj n)
rhufaug|drunken (adj)
rhugarol|doing evil; wicked (adj)
rhugaron|sinner (n)
rhugar|*sin; evil deed (n)
rhîf|brim; brink (n)
rhîw|winter (n)
rhód|method; running (n)
rhôg|strength (n)
rhúnen|eastern (adj)
rhû (n adj)|evil; wicked (n adj)
rhû; sith (n)|matter (n)
rhûn|east; eastern; †rising (n)
ribin|edged; striped (adj)
rib|fringe; line; shore; stripe (n)
rig-|*to confuse; to contort; to disarrange; to twist; to upset (vb)
rig|a snarl; a sneer (n)
rim (n adj)|calm; peace; peaceful; quiet; quietness (n adj)
rim (n, Language and Music)|fringe; line; stripe (n)
rim (n, Physical World)|cold pool or lake (in mountains) (n)
rim (n, Quantity and Number)|crowd; host; people (of one kind or origin) (n)
rimin|calm; edged; peaceful; quiet; striped (adj)
rimp|shred; slice; sliver (n)
rin-|to come back; to do again; to return; to revolve (vb)
rinc|jerk; sudden move; twitch (n)
ring|chill; cold (adj)
rista-|to cut; to rip (vb)
ritha-|to jerk; to snatch; to strive; to try; to twitch (vb)
ro-|*superlative (pref)
rochben; rochon|rider (n)
rochir|horse-lord (n)
roch|(swift) horse (n)
rodel|high lady (n)
rodol|little pipe (especially musical) (n)
rodrin|cylindrical (adj)
rod|*pipe; stem; tube (n)
rogol|saddle (n)
romru|sound of horns (n)
rom|horn; trumpet (n)
rond|(vaulted or arched) roof; heavens [as a roof of the world]; vaulted chamber or cavern (n)
ronga-|to hasten (vb)
rong|soon (adv)
ross (adj)|copper-coloured; red-haired (adj)
ross (n)|rain; spray (n)
rosta-|to excavate; to hollow out (vb)
rostaur|rainforest (n)
rosta|ascent; uprising (n)
rost|rainy (adj)
rothron|polisher (n)
roth|grot (n)
rov-; ruf-|to tear (vb)
rovaed|[most] skillful (adj)
roval|great wing (of an eagle); pinion; winged (adj n)
ruida-|to chase; to pursue (vb)
ruim|mysterious; secret (adj)
ruin|fiery red; red flame (n adj)
ruist|fireplace; hearth (n)
rui|*chase; hunt; hunting (n)
run-|to grind; to rub (vb)
runna-|to burnish; to polish (vb)
rusc|fox (n)
rusg|oatcake (n)
rust (Agriculture and Vegetation)|cultivation; inhabitation; tillage (n)
rust (Physical Acts and Materials)|copper (n)
rustui|*of copper; copper; like copper (adj)
ruthla|oaten (adj)
ruthli|oats (n)
ruthra-|to rage (vb)
râd|pass; track (n)
rían|*(lit.) crowned-lady (n)
rídhas|countryside; farmland; the country (n)
rídhathren|rural; rustic (adj)
rínada-|to coronate; to crown (vb)
rî (Clothing and Adornment)|crown; garland; wreath (n)
rî (Sense Perception)|a sudden breeze or cold breath; cool; coolness (n)
rîdh|acre; sown field; ‘sown’ (n)
rîn (adj)|crowned (adj)
rîn (n)|remembrance (n)
rîth|effort; endeavour (n)
rôg|doughty; strong (adj)
rôl|a song (n)
rôn (Body Parts and Functions)|liver (n)
rôn (Possession and Trade)|clasp; embrace (n)
rôs; rôtha-|embrace (n)
rúthui|angry; wrathful (adj)
rû (Physical Acts and Materials)|loud sound; trumpet-sound (n)
rûdh|bald (n)
rûm|mystery; secret (n)
rûn|burnished; polished; smoothed by polishing (adj)
rûth|anger; wrath (n)
rû|mystery (n)
rŷn|chaser; hound of chase (n)
sa (prep adv)|alongside; beside; next (to) (prep adv)
sa; san (pron)|that (pron)
sab-|to dig (vb)
sabar|delving (n)
sachwen|midsummer (n)
sad-|to care; to consider; to esteem; to reck; to show respect for; to value (vb)
sador|loyal; steadfast; trusty (adj)
sadron|loyal companion; trusty follower (n)
sad|place; spot (n)
saeb (adj)|hungry (adj)
saeb (n)|boot (n)
saeda-|to (lit.) make wise; to *train; to teach (vb)
saegon|(great) hunger; famine (n)
saeg|hunger (n)
saelor|advisor (n)
saera-|to urinate (vb)
saerlin|urine (n)
saetha-|to cause hunger (vb)
saichwed|fiery (adj)
saictha-|to have hunger (vb)
said|excluded; not common; private; separate (adj)
sain|new (adj)
sairos|great age (n)
sairothwen|antiquity (n)
sairweg|old man; sage (n)
sairweigian|proverbial wisdom; sage saying (n)
sair|aged; ancient (adj)
sai|those (pron)
salab|herb (n)
salcha-|to scythe or mow (vb)
salch|ensilage; green cut grass (n)
salph|broth (n)
salta|a game (n)
salum|*harp (n)
sam; tham (n)|chamber; room (n)
sammar|*neighbor (n)
samp|shovel; spade (n)
samtha-|to settle a matter legally (vb)
sant|field; garden; yard (n)
sara-|to ait (vb)
sarch|grave (n)
sardh|table (n)
sarn (n adj)|(small) stone; pebble; stone as a material; stony (place) (n adj)
sarn (n)|a stone; stone (n)
sarnas|cairn (n)
sarneg|pebble (n)
sarothod; sarothwad|seafarer; voyager; (lit.) foreigner from overseas (n)
sarth|jot; note; scribbling (n)
sath|part (n)
saur|bad (of food); putrid (adj)
sautha-|to drain (vb)
sav- (Mind and Thought)|to accept as fact; to believe in (vb)
sav- (Possession and Trade)|to have (vb)
saw (Food and Drink)|juice (n)
saw (Sense Perception)|filth; putrescence (n)
se; sen; then|this (pron)
secthadron|midmost (adj)
sedh-|to rest (vb)
seidia-|to appropriate to a special purpose or owner; to set aside (vb)
sein|usual (adj)
sell|daughter; girl; maid; †girl (n)
senc|flint; flinty; mineral-like (adj n)
send|?rest (n)
sennas|guesthouse (n)
sennui|?rather; instead (adv)
seregon|plant with red flowers; stonecrop; (lit.) blood of stone (n)
sereg|blood (n)
serni|pebble bank (n)
sesta-|to (lit.) to make rest (on); to set (vb)
si(n)-|granddaughter of (pref)
sibra-|to weep; to whimper (vb)
sigil (Physical Acts and Materials)|dagger (n)
silef (adj)|shining white; silver (adj)
silef (n adj)|(white) crystal (n adj)
silevren|like silef (crystal) (adj)
silif|*moonlight; light of Silpion; †silver (n)
silith|*moonlight; light of Silpion (n)
silivren|(white) glittering; crystalline (adj)
sinc (Physical World)|*mineral (n)
sinc; tinc (Physical Acts and Materials)|metal (n)
singil|mirror (n)
singren|*salty; salt (adj)
sing|salt (n)
siniath|news; tidings (n)
sinnarn|novel tale (n)
sinnen|known (adj)
sin|these (pron)
sion|grandson (n)
siria-|to flow (vb)
siriol|fluent; liquid; melliflous (adj)
sirith|flowing (n)
sith|affair (n)
soethor|drinking-horn (n)
sog-|to drink (vb)
solch|root (especially as edible) (n)
solph|soup (n)
somma-|to dive; to duck (vb)
sommor|duck; waterfowl (n)
sov-|to bathe; to wash clean (vb)
suilad|greeting (n)
suilanna-|to *give greeting; to greet (vb)
suitha-|to dry; to wipe (vb)
suithlas|*(lit.) drink of leaf; tea (n)
suith|a drink; draught; drink (n)
sui|*as (prep)
sulus|air-spirit (n)
sunt|nostrils (n)
suss (interj)|hush (interj)
suss (n)|hush; sudden quiet (n)
suthra-|to hush; to make or go quiet (vb)
sâdh|sward; turf (n)
sídheb|full of peace; peaceful (adj)
síla-|*to shine (vb)
sír|*today; this day (n)
sí|in this place (of speaker) (adv)
sî (adv)|hereto; hither(to); yet (adv)
sî (n)|bead; small gem or pearl (n)
sîdh|peace (n)
sîr (Physical World)|river (n)
sîr|stream (n)
súda-|to blow (of wind) (vb)
sûl (Food and Drink)|goblet (n)
sûl (Physical World)|*gust; [strong] wind (n)
sûn|bath (n)
sûr|trailing (adj)
sû|noise of wind (n)
tab-|to block; to close; to stop (vb)
tachol|brooch; clasp; pin (n)
tad-dal|*biped; two-legged (adj)
tadui|second (ordinal)
taeg|boundary line; limit (n)
taen (adj)|long (and thin) (adj)
taen (n)|summit of high mountain (n)
taer|*high; straight (adj)
taes|nail (n)
taetha-|to fasten (vb)
taew|clasp; hasp; holder; socket; staple (n)
tag-|to *fasten; to construct; to fix; to make firm (vb)
taglos; tagron; tân; ŷr|smith (n)
tagol|mark; post (n)
taid|second in command; supporting (adj)
taig|marking (a boundary) (adj)
tail; tâl (tald-)|foot (n)
tain|epistle; letter; missive (n)
tair (adj)|vertical; (lit.) standing (adj)
tair (n)|gaze; guard; look-out; regard; watch (n)
taith|a letter; mark; sign; stroke; symbol (n)
talad|incline; slope (n)
talaf|ground (n)
talagan|harper (n)
talan|flat space; flet; flet [Middle English = ‘floor’]; platform (n)
talath|flat lands; vale (n)
talc; tîr|upright (adj)
talf|flat field; topographical flat area; wang (n)
tallam|conlang (n)
tallen|fun(ny); playful (adj)
tallif|ankle (n)
taloth|(foot)path (n)
talpa-|to buttress up; to prop up (vb)
talphressui|mischievous (adj)
talphres|mischief; (lit.) play(ful)-trouble/disturbance (n)
talpon|a slender pillar (n)
talraph|stirrup (n)
taltha-|to collapse; to fall in ruin; to slip (down) (vb)
talt|falling; insecure; slipping (adj)
talvad|footpath (n)
tamma-|to knock (vb)
tammos|cauldron (n)
tana-|to indicate; to point out; to show (vb)
tanc (Emotion)|firm; settled; steadfast; steady (adj)
tanga-|to kindle; to set light to (vb)
tangad(a)-|to confirm; to establish; to fix; to make firm (vb)
tangad-|to fix; to make firm (vb)
tangod|confirming; fixing; making (n)
tangor|fireplace; hearthgrate (n)
tangos|firmness; steadiness (n)
tang|bowstring (n)
taphaen|twenty (cardinal)
tar-|to stand (vb)
tarag|horn; steep mountain peak (n)
tara|stiff; tough (adj)
tarchas|roughness; rudeness; ruggedness (n)
tarch|rough (or tough); stiff (adj)
tarf|stale (adj)
tarias|difficulty; stiffness; toughness (n)
tarlang|obstinate; proud; stiff neck (a nickname applied to men of haughty carriage or mood); (lit.) stiff-necked (adj n)
tarnon|porter (n)
tarn|gate (n)
tarph|dry [esp. of foods]; stale (adj)
taru (adj)|horned (adj)
taru (n)|*crucifix; cross; crossing (n)
tass|task (n)
tast (Quantity and Number)|amount; total (n)
tast (Spatial Relations)|fringe (n)
tasta-|to (put to the) test; to *verify (vb)
tastaith|test (n)
tathar|willow (tree) (n)
tathren|of willow(s) (adj)
tathrin|willow (n)
taudha|phosphorous (n)
taugla-|to resist (vb)
taug|(?withstand); firm; strong (adj)
taul|pillar (n)
taur (adj)|awful; huge; overwhelming; sublime; vast (adj)
taur (n, Physical World)|dense wood; dense wood or forest; great wood (n)
taur (n, Social Relations)|king (of a whole tribe) (n)
tauron|forester (n)
taus|thatch (n)
tavnen|fashioned; made (by craft of hand); wrought (adj)
tavn|thing made by handicraft (n)
tavor (Animals)|knocker; woodpecker (n)
tavor (Religion and Beliefs)|wood fay (n)
taw (adj)|of wool; woollen (adj)
taw (adv)|thither (adv)
taw (n)|wood as material (n)
tawar|*forest; wood (material) (n)
tawen|wood (of material); wooden (of make) (adj)
teb|neb; nib (n)
techu|chip (n)
teflarol; tefra|abject; mean (adj)
tegil|pen (n)
teglath|feast year; noted year; special year (n)
teglos|awning (n)
tehar|brick (n)
teitha-|to draw; to inscribe; to make marks or signs; to write (vb)
tel-|to be done; to end; to finish (vb)
telch|stem (n)
teleg|leg (n)
teleir|*Telerin (adj)
tele|hindmost part; rear (n)
telf|anything used to finish off a work or affair; conclusion; ending (n)
telien|game; play; sport (n)
telingail|sign of heaven (n)
tellyn|sole of foot (n)
tell|final (in a series) (adj)
teloth|roofing; shelter (n)
telthion; telwed|protected; roofed in; sheltered (adj)
telthon; telum; tobas|roof (n)
telt|lid (n)
telum (Agriculture and Vegetation)|mushroom (n)
telu|dome; high roof (n)
tengedion|confirmer; establisher; fixer (n)
tengolu|semantics (n)
tentha-|to feel with the feet; to walk on tiptoe (vb)
tent|toe (n)
ten|passive voice marker (pron)
tertha-|to *ruin; to destroy; to devour; to †(orig.) to make pierced (vb)
terthaith|destruction; ruin; waste (n)
tess(il)|little flower; †maiden (n)
tess|fine pierced hole (n)
tev-|to detest; to hate (vb)
tevren|hateful (adj)
tew; têw; tîw|letter (n)
tewig|morpheme (n)
thaes|attraction; temptation (n)
thaetha-|to split (vb)
thaf; thâf|hay (n)
thag-|to draw; to pull (vb)
thagel|luring; pulling (adj)
thaigra|choice; elegant; select (adj)
thaig|choice (n)
thain (Law and Judgment)|*lawful; according to custom; formal; law-abiding; normal; regular (adj)
thain (Spatial Relations)|even; level (adj)
thairin|magic (adj)
thalas|courage; valour (n)
thala|firm; hardy; stalwart; steady; valiant (adj)
thalieth|dauntless woman; heroine (n)
thalion (adj n)|dauntless; dauntless man; hero; strong (adj n)
thalion (n)|dauntless man; warrior hero (n)
thall|falling steeply (of river) (adj)
thalos; thórod|torrent (n)
thalph|grease (n)
thamas|great hall (n)
thanc|bifurcated; breach; break; cleft; cloven; divided; forked; split (adj n)
thand (adj)|abiding; firm (adj)
thand (n)|shield (n)
thang (Quantity and Number)|a crowd; crush; herd (n)
thang (Social Relations)|compulsion; duress; oppression; pressure (n)
thangail|shield-fence; shield-wall (n)
thar-|to saw (up) (vb)
tharan|vigorous (adj)
tharas|footstool; hassock (n)
tharchol-|to (lit.) carry-across; to translate (vb)
tharf; thram|saw (n)
tharn|rigid; sapless; stiff (adj)
thar|across; athwart; beyond; over (prep pref)
thas-|to shave (vb)
thasgim|razor; (lit.) shave-blade (n)
thasg|shaven (adj)
thast|shaving(s) (n)
thas|thy (pron)
thathri|sawdust; shavings (n)
thaur|abominable (adj)
thavn|post; wooden pillar (n)
thavron|builder; carpenter; wright (n)
thaw|corrupt; rotten (adj)
thegin|chief; leading (adj)
thegla|first lights of dawn (n)
thegra|first; foremost (adj)
theinas|law; rule (n)
theinweg|lawman; lawyer (n)
thel-|to intend; to mean; to purpose; to resolve (vb)
thela|point (of spear) (n)
thennas|shortness (n)
ther-|to sew (vb)
theres|ribbon; tie (n)
theria-|to be vigorous; to flourish (vb)
theriol|flourishing (adj)
thibindon|flute-playing (n)
thibinor|piper (n)
thibin|flute (n)
thig-|to choose; to pick out; to select (vb)
thilia-|to glisten (vb)
thilim|gleaming (adj)
thimma-|to play a flute or whistle (vb)
thimp|the stop on a flute (n)
thim|milk (after separation) (n)
thinc|a bunch; a choice; a pick; posy (n)
thinna-|to *(lit.) become grey; to fade (vb)
thinta-; thiv-|to skim (vb)
thirad-|to fill in the last details; to make complete (vb)
thiradant|elaborately finished (adj)
thirph|straw (n)
thisin|*desiccated; parched (adj)
thista-|to dry up (tr.) (vb)
thivol|piccolo; whistle (n)
thlidhra|gracile; ‘willowy’ (adj)
thlim|kind; sort; species (n)
thloss|breaker (n)
tho-|to *will be (vb)
thol-|to roll (vb)
tholos|axle of a wheel (n)
thond|base; root (n)
thoniel|kindler (in the past) (adj)
thonnas|*foundation; root-word (n)
thonn|base; root; root-word (n)
thora-|to fence (vb)
thoren|*fenced (adj)
thorn (adj)|steadfast (adj)
thorn; thoron|eagle (n)
thornang|(lit.) hard-iron (n)
thorombar|eagle’s nest; eyrie (n)
thossui|afraid (adj)
thosta-|to *give off a smell; to stink (vb)
thost|smell (n)
thos|puff (of air) (n)
thothri|black magic (n)
thriben|lean (adj)
thrimp|stalk (n)
throthriol|wizardous (n)
throth|beat (of oars, wings, etc.) (n)
thug|?resin (n)
thuia-|to breathe (vb)
thuif; thuis|any adhesive substance; resinous juice (n)
thâr|stiff grass (n)
thîn|evening (n)
thîr (adj)|accomplished; complete; ended; full; up to the required number (adj)
thîr (n)|countenance; expression; face; look (n)
thôl|helm (n)
thôr|leaping down; swooping (adj)
thúna-|to be spiritually affected; to inspired (vb)
thúnas|inspiration (n)
thû (Emotion)|movement of spirit (n)
thû (Sense Perception)|black mist; horrible darkness (n)
thûg|resin (n)
thûl|breath (n)
tif-; tiph-|to whistle (vb)
tifin; tiphin|small flute (n)
tiglas; tiglath|remorse (n)
tilithli|little elf (n)
tilithril|f. elf (n)
tilithrin|elfin (adj)
tilithron|m. elf (n)
till (Body Parts and Functions)|horn (n)
till (Spatial Relations)|(sharp) horn; ending; spike; tine (n)
timpintha-|to jingle; to ring; to tinkle (vb)
timp|hoot; note of a flute (n)
tin (pron)|them (pron)
tin; tîn (n)|spark; sparkle; twinkle of stars (n)
tingen|metallic (adj)
tiniath|constellation; group of stars; star-cluster (n)
tinna-|to glint (vb)
tinnu|(starry) twilight; early night (without moon) (n)
tinthiltha-|to *sparkle; to twinkle (vb)
tinthilthad|scintillation; sparkling; twinkling (n)
tir-|to await; to expect; to guard; to look (out) for; to look (towards); to watch (over); to watch for (vb)
tiria-|to gaze; to guard; to ward; to watch (vb)
tirion|tower; turret; watch-tower (n)
tirith|guard; guarding; ward; watch; watching (n)
tirnen|guarded (adj)
tisga-|to tickle (vb)
tisg|ticklish (adj)
tith|breast [of a woman]; teat (n)
tiwdi|alphabet (n)
ti|*they (pron)
tlacha-|to clap; to clash; to clatter (vb)
tlachol|clashing (adj)
tlach|clap; clash (n)
tlais; tlass|flapping noise; splashing (n)
tlaud|sloping (adj)
toba-|to cover; to roof over (vb)
tobas|roofing (n)
tobla-|to hide (vb)
toch|cud (n)
tog-|to bring (vb)
tol (Physical World)|isle (with high steep coast) (n)
tol(l)|(high steep-sided) isle; island (n)
tol-|to come (vb)
tol; toll|island; isle (n)
tolch; toleg|*sticker-up (n)
tolcha-|to *steady; to comfort; to support (vb)
tolf|mast (n)
tolhui; tollui|eighth (ordinal)
tolodh|eight (cardinal)
tolog|stalwart; trusty (adj)
tolophaen|eighty (cardinal)
tolpheg|spoon (n)
tolph|basin; bowl (n)
toltha-|to fetch (vb)
tomp|bulging; humped (adj)
tond (adj)|tall (adj)
tond; tonn|(bored) hole; perforation (n)
tong|resonant (of strings); taut; tight (adj)
tor-|to have victory; to win (vb)
torchal|shark or other large predatory fish (n)
torc|a sear; mark of a burn (n)
torech|(secret) hole; excavation; lair (n)
torn|burial mound (n)
tortha-|to control; to wield (vb)
tor|the Dead (n)
toss|bush; low-growing tree (n)
tosta-|to cough (vb)
tovn|lowlying (adj)
tranc|at cross purpose; criss-cross; cross; crossed; perverse (adj)
trannail|local; regional (n)
trann|*county; adminitrative region; shire (n)
trasta-|to harass; to trouble (vb)
trastadweg|annoying (adj)
tre-|through (pref)
trenar-|to recount; to tell to the end (vb)
trenarn|account; tale (n)
trevad-|to traverse (vb)
trog|convenient; docile; easy to handle; tractable (adj)
trunc|great stake (n)
trîw|very slender (adj)
trî|through (prep)
tudheg|match (n)
