(a)larca|rapid; swift (adj)
at(a)-|[repeat a] second time; again; back; bi-; double; re-; twi- (pref)
at- (vb)|to capture; to catch (vb)
at-; att(a)- (pref)|bi-; twi- (pref)
ataformaitë|ambidextrous (adj)
atahenta-|to revise; (lit.) to re-examine (vb)
atalantëa|downfallen; ruinous (adj)
atalantë|collapse; downfall (n)
atalta-|to collapse; to fall down; to fall in; to slip down in ruin (vb)
ataltarë|collapse (n)
atamaitë|two-handed (adj)
atamenta-|to transmit (vb)
atamentië|transmission (n)
atamir|heirloom (n)
atannahtar|man-slayer (n)
atapengëa|bilabial (of consonants) (adj)
ataquanta-|*to refill; to double fill; to fill a second time (vb)
ataquer|bicycle; bike (n)
ataquetië|repetition; saying again (n)
ataquë|building; construction (n)
atar (prep)|*for (prep)
atar; atto; tatto (n)|father (n)
atatya; atwa|double (adj)
ata|*(lit.) a second time; again (adv)
atesta-; pententa-|to mention (vb)
atintila-|*to sparkle (vb)
atsa|catch; claw; hook (n)
atsinta-|to recognize (vb)
atta (cardinal)|two (cardinal)
atta (pron)|3rd sg. neut. pronoun; they (emphatic) (pron)
atta; cassë; or; to|above (prep)
attalya|*(lit.) two-footed; biped (n adj)
attindo|doubt; (lit.) two mind (n)
attië|couple; group of two; pair (n)
atto|daddy; father (familiar/family); father (hypocoristic) (n)
attëa; atya; tatya|second (ordinal)
atya|(my) father; daddy (n)
atyenárë; rincalenda|anniversary (n)
atyo|*daddy (n)
au (adv, Mind and Thought)|if only (adv)
au (adv, Spatial Relations)|away; not here (of position); off (adv)
au (prep)|away from (prep)
au(ve)|might (have); would (have) (adv)
au- (Spatial Relations)|away (from) (pref)
au-; ava-; nec- (pref, Grammar)|without (pref)
auca|foolish (adj)
aucelië|sewer; (lit.) away-flowing (n)
aucir-|to cut off (and get rid of or lose a portion) (vb)
aucië|foolishness (n)
aucol-|to remove; (lit.) to bear away (vb)
auhanta|garbage; refuse; trash; (lit.) thing thrown away (n)
aulerya-|to free somebody of something; to rid (vb)
aulë|invention (n)
aumanca-|to sell; (lit.) to trade away (vb)
aumapando|abductor; (lit.) away-seizer (n)
aumenta-|to dismiss; to divorce; (lit.) to away-send (vb)
aumentalë|dismissal; divorce (n)
aunotë(a); únotë(a)|not counted; uncounted (adj)
aupenya|complete; without lack (adj)
auqua|awkward; clumsy (of things); difficult (adj)
auquer-|to reject; (lit.) to turn away (vb)
aura|possession; thing owned (n)
aurehen (aurehend-)|dandelion; (lit.) day-eye (n)
auriquilëa|golden; sunlit (adj)
aurië|property; wealth [in possessions] (n)
aurë (auri-)|gold light; sunlight; sunshine; warmth (n)
aurëa|*daytime; sunlit; sunny (adj)
aurë|day (as opposed to night); daylight (n)
ausa [þ]|dim shape; spectral or vague apparition (n)
ausatië|especially; (lit.) setting aside (adv)
austalendë|mid-summer’s day (n)
aut (auc-)|clumsy fellow; fool (n)
auta- (Mind and Thought)|to devise; to invent; to originate (vb)
auta- (Motion and Transportation)|to away; to be lost; to depart; to disappear; to go (away); to leave; to pass away (vb)
auta-; hep-; tiri-; öa-|to keep (vb)
auta-; öa-|to own; to possess (vb)
autaila|going; nearly gone; passing (adj)
autas (*autass-)|a former occur[rence] (n)
autulya-|to deport; (lit.) to bring away (vb)
autulyalë|deportation (n)
auvië|*the act of possessing; possession (abstract) (n)
ava (adv adj)|beyond; exterior; outer; outside (adv adj)
ava (interj)|strong or curt refusal (interj)
ava- (vb)|to forbid; to refuse (vb)
ava-; vá- (pref, Language and Music)|negation (refusing or forbidden) (pref)
avahaira|*far beyond; very remote (adj)
avalda|excited; move[d]; stirred (adj)
avalerya-|to deprive of liberty; to restrain (vb)
avamarwa|homeless (adj)
avamat-|to fast; (lit.) to refuse to eat (vb)
avanev-|to avoid; (lit.) to refuse to face (vb)
avanir|unwill (n)
avanwa|banned; forbidden; refused (adj)
avanyárima|not to be told or related; unspeakable; what one must not tell (adj)
avaquétima|not to be said; that must not be said (adj)
avarta-; hehta-|to abandon (vb)
avatup-|to expose; to uncover (vb)
avatyar-|*to forgive; (lit.) to do away with (vb)
avëalta- (Mind and Thought)|to resemble closely (vb)
axanwëa|logical (adj)
axanwë|(orig.) law of thought; logic (n)
axan|[divine] law or rule; commandment (n)
axa|of bone (adj)
axendë|marrow (n)
axosta|skeleton (n)
axo|bone (n)
axula|bony (adj)
axë (axi-); yaisa|steel (n)
axë|*(upper) spine; neck [vertebrae]; rock ridge (n)
axína|(of) steel; *like steel; [of] steel (adj)
ca(na)sta|*quarter; one fourth (fraction)
ca(ta)|after; at back of place; behind (prep)
ca-|cause (pref)
ca; cana|at back of place; behind (prep)
cabu; cart (*carp-)|tuft (n)
cacanna-|to advertise; to announce repeatedly; to herald; to propagate (vb)
cacannalë|advertisement (n)
cacarra-|to *continue; to keep on doing (vb)
cacil; lalil|chuckle (n)
cacátu-|to design; to shape or fashion slowly (vb)
cacáva|cocoa (n)
cahta|cause; motive; reason (n)
caicta-|to strangle (vb)
caila|*abed; lying in bed (adj)
caimasan (caimasamb-) [þ]|bedchamber (n)
caimasan (caimasamb-)|bed-chamber; bed-room (n)
caimassëa|a-bed; bedridden; confined to bed; sick (adj)
caimassë|sickness; (lit.) lying in bed (n)
caima|bed; couch (n)
caimenya|horizontal (adj)
caimen|horizontal direction (n)
caina; quanta|whole (adj)
cainella|fortnight (n)
cainen; quain; quëan|ten (cardinal)
caino|whole (n)
cainu- (Spatial Relations)|to *bend down; to [with locative] to endure; to lie down; to suffer (from) (vb)
cainu-; vesta- (Mankind)|to wed (vb)
caira|eager [to do] (adj)
caita-; cay-; cupta-|to lie (vb)
caita-|*to lay (transitive); to lie (down); to place (vb)
cal-; cala-; sil-|to shine (vb)
calain(e)a|serene (adj)
calainë (Spatial Relations)|serenity (n)
calainë (Warfare and Hunting)|serene (n)
calambar|*light-fated (adj)
calampa|spoon (n)
calar; calma; calumet (calumett-)|lamp (n)
calarus (calarust-)|polished copper (n)
calarwa|optical (adj)
calas (calass-)|brass (n)
calassina|*made of brass; brazen (adj)
calatengwë|photograph; (lit.) light-writing (n)
cala|12 hours; daytime (sunlight); light (n)
calcata-|to glaze (vb)
calca|glass (n)
calcëa|glassy; of glass (adj)
calima|bright; luminous (adj)
calimbarië|barbarity (adj)
calimbo; fandos (fandoss-); fantor (*fantos-); orc; ulundo; úvanimo; úvano|monster (n)
calimbo|a savage; barbarian; giant; goblin; troll; uncivilized man (n)
calina (Sense Perception)|bright; light; sunny; (lit.) illumined (adj)
calina; linda; vilina (Physical World)|light (adj)
calleva|fair (weather or complexion) (adj)
callië|heroism (n)
callo (adv prep)|from off; from on; from on top of; off (adv prep)
callo (n)|hero; noble man (n)
callovëa|hero-like; heroic (adj)
callë|blue sky; clear sky; fair weather (n)
calma (Dwelling and Furniture)|(device for shining) light (n)
calma (Physical World)|(day)light; candle (n)
calmar (calmarn-)|child of light (n)
calmatan|lampwright (n)
calmatarma|lampstand (n)
calmatéma|k-series (n)
calongalan (calongaland-); calongalë|ringing or jangling of (large) bells (n)
calonga|large bell (n)
calonya-|to peal; to ring (vb)
calpa-|to bale out; to draw water; to scoop out (vb)
calpa|bucket; vessel; water-vessel (n)
calta-|to (cause to) shine; to kindle (lamp etc.); to light up; to set light to (vb)
calwa|lurid (adj)
calya-|to illuminate (vb)
camba|(cupped) hand; hollow of the hand (n)
cambië|gain; income; intake; profit (n)
cambë|hollow (of hand) (n)
camilot|red clover (n)
camma|receptacle (n)
camo; pollo|ram (n)
campilossë|wild-rose (n)
campin|(wild-rose) berries; hips (n)
campo (*campu-)|flea (n)
camya-|to contain; to hold (vb)
camáta-|to give to eat; to make eat (vb)
can(ta)cainen; canquain|forty (cardinal)
can-|to claim; to demand (when applied to things) (vb)
can; cantallumë|four times (adv)
cancëanya; canquëa|fourteenth (ordinal)
candóla; nóla|crown of head (n)
canguru|kangaroo (n)
canquë|*fourteen (cardinal)
canta (n adj)|frame; shape; shaped (n adj)
canta (n)|frame; framework; shape; shaped (n)
canta; neldë (cardinal)|four (cardinal)
cantalya|four-legged; quadruped; (lit.) four-footed (adj n)
cantast(y)a|one fourth; quarter (fraction)
cantelë|harping; repetition (n)
cantemma|sculpture; shaped image (n)
cantil (cantild-)|*quadrilateral; quadrangle; rectangle; square (n)
cantilya|quadrangular (adj)
cantië; ocantië|pattern (n)
canton (cantond-)|soapstone; (lit.) sculpted rock (n)
cantëa (ordinal)|fourth (ordinal)
cantëa; maitë (maiti-) (adj)|shapely (adj)
cantóra|*four million (cardinal)
cantórë|quadrillion (cardinal)
canuina|of lead (adj)
canuva|leaden (adj)
canu|lead; lead [metal] (n)
canwahimië|obedience (n)
canwahimya|obedient (adj)
canwa|announcement; order (n)
canya-|?to command (vb)
cap-; capa-|to jump; to leap (vb)
capaitë|bounding; leaping (adj)
capanda|jump (n)
capië|leap (n)
capsa|*container; case; vessel (n)
capta- (Emotion)|to startle (vb)
capta- (Physical Acts and Materials)|to make spring; to scatter; to startle (vb)
car (card-)|building; house (n)
car (cas-); cas (cast-); nóla (n)|head (n)
car-; cara-|to do; to make (vb)
caraitië|activity; business (n)
caraitë (caraiti-)|able to make; active; busy; craftsmanlike; crafty; handy; skilled (adj)
caramaitë|able to make; craftsmanlike; crafty; handy; skilled (adj)
caranya-|to make red; to redden (vb)
carapë; collo|cloak (n)
carapë|outer garment (n)
caras (caras-)|lettuce (n)
carassë|built fort or dwelling surrounded by bulwarks (n)
carasta-|to construct (vb)
carastanyarro|beaver; (lit.) build-rat (n)
carasta|construction; making; manufacture (n)
caraxë|jagged hedge of spikes; row of spikes or teeth (n)
carcanë|row of teeth (n)
carcapolca|*(lit.) tusk-pig; boar (n)
carcaran|crocodile; (lit.) toothed-beam (n)
carcara|toothed (adj)
carcasarma [þ]|large saw (n)
carcasarma|large saw (adj)
carca|fang; tooth; tusk (n)
carco (carcu-)|alimentary canel (n)
carda-|to admire; to have affection or respect for (vb)
carda|*action; deed (n)
cariendë|process of manufacture; production (n)
carina (Physical Acts and Materials)|done; finished; made (adj)
carina (Time)|finished; made (adj)
carino-|to get finished/made (vb)
cariquetta|verb (n)
carië|doing; making (n)
carmatan (carmatam-)|toolsmith (n)
carma|implement; means; tool; weapon (n)
carmen (carmend-)|recipe (n)
carmë|making; production; structure (n)
carniambos|robin; (lit.) red-breast (n)
carnë (carni-)|red; scarlet (adj)
carnë|red (adj)
caron; corco|crow (n)
carp-; carpi-; lep-|to pluck (vb)
carpalos [þ]|tulip; (lit.) hat-flower (n)
carpalë|a plucking; deceiving; tricking; tugging; wrenching (n)
carpan|hank (of wool etc.) (n)
carpë|hat (n)
carranta|strategy; (lit.) action-course (n)
carrëa|*headdress; tressure (n)
carwalin|russet (n)
cas (adv)|towards the top; upwards (adv)
cas (car-)|head; top (n)
cas (cast-)|summit; top (n)
cas(ta)|to(wards) the top; upwards (adv)
casientulë|with helm on (adj)
casondo-|to make sit; to set (vb)
casquar(in); castol(o); harpa|helmet (n)
cast; cëatto; cëatya; quaista|one tenth (fraction)
castor|beaver (n)
castëa (Quantity and Number)|capital; chief; head-; of the head (adj)
castëa (Spatial Relations)|top (with added sense of prominent, chief) (adj)
cat-|to fashion; to shape (vb)
catamen|background; milieu (n)
catassa|anus; arsehole; (lit.) behind-hole (n)
cata|after (prep)
cato|afterwards (adv)
catta|back (n)
cauco (caucu-)|humpback (n)
cauma|protection; shelter; shield (n)
caurenoina; numbëa|timid (adj)
cav- (Possession and Trade)|to *accept; to receive (vb)
cav-; rot-; sap-; sapa- (Agriculture and Vegetation)|to dig (vb)
ce; le; tye (pron)|you (pron)
cecainen; cëacai(li)|hundred (when not multiplied) (cardinal)
cecenna-|to visit (vb)
cecet (cecect-)|pheasant (n)
cehtecet|clucking (n)
celeta|trickle (n)
celima|*(lit.) able to flow freely; fluent (adj)
cellumë|*ten times (adv)
celma|channel (n)
celu(me)|fountain; spring; stream (n)
celu-|to (begin to) flow; to flow; to spring forth (of water) (vb)
celumë|flood (tide); flow(ing); stream (n)
celundë|welling forth (n)
celurë|fountain (n)
celusindi|river (near its source) (n)
celussë|freshnet; water falling out swiftly from a rocky spring (n)
celusta|outflow (n)
celut; siril|rivulet (n)
celuva|original (adj)
celu|origin; source (n)
celvacir|butcher (n)
celvamatta|animal food (n)
celvamatya|carnivorous; (lit.) animal-eating (adj)
celvatarwa|zoo; (lit.) life-garden (n)
celvavëa; lamanwa|animal-like (adj)
celva|animal; living thing that moves (n)
celvë|deer; doe; hind (n)
cemendur|farmer (n)
cemenquasië; pampinë|earthquake (n)
cemen|Great Lands; earth; soil; the earth (n)
cemievëa|chemical (adj)
cemië|chemistry (n)
cemnaro|potter (n)
cemnassë|earthenware; pottery (n)
cemna|earthen; of earth (adj)
cemorva|potato; (lit.) earth-apple (n)
cen (Physical World)|*earth; soil (n)
cen (Sense Perception)|*sense of sight; sight (n)
cen-|to *perceive; to behold; to look; to see (vb)
cenai|if it be that (conj)
cenasit; cenasta|if it be so; may be; perhaps (adv)
cenda-|to observe (for some time); to read; to watch (intensively) (vb)
cenda|inspection; reading (n)
cendelë|*visage; face (n)
cenqua|sharp (of points) (adj)
centa|*essay; enquiry (n)
cenya|*seeing (adj)
cenítë|*able to see; seeing (adj)
cere-|to turn (vb)
ceresca|of earthenware (adj)
certa|rune (n)
ces- [þ]|to examine (in order to find something); to search (vb)
cesië [þ]|search (n)
cesta-|to ask (vb)
cesula [þ]|curious; inquisitive (adj)
cesya- [þ]|to cause interest; to interest (oneself); (lit.) to cause one to enquire (vb)
cesyarë [þ]|interest (n)
cesyarëa [þ]|interesting (adj)
cetya|*your; 2nd sg. possessive emphatic (adj)
ceu; céva|fresh; new (adj)
ceula|?alive (of vegetable) (adj)
ceulë|*renewal (n)
ceura; ceurë|renewed (adj)
ceuran (*ceurán-)|new-moon (n)
ceuranar (ceuranár-)|new sun after solstice (n)
ceuta-|to refresh; to renew (vb)
ce|2nd sg. pronoun; that by you (pron)
cil-|to choose; to select (vb)
cilapinc|robin (n)
cilapitya-|to chirp (vb)
cilincelë|jingling of (small) bells (n)
cilintilla|*mirror; looking-glass (n)
cilintl|to small bell (vb)
cilintya-|to ring; to tinkle (vb)
cilintír|looking-glass (n)
cilinyul (*cilinyulm-)|drinking-vessel (made of glass) (n)
cilin|glass [transluscent or reflective] (n)
cilma; pempë|lip (n)
cilmessë|self-name (n)
cilmë|*selection; choice; choosing (n)
cilometer|kilometer (n)
cilta-|to divide; to separate (vb)
ciltië|division; separation (n)
cilt|tuck (n)
cim-; tir-|to heed (vb)
cimba-|to care (vb)
cimba|brink; edge (n)
cinca-|to hang (intr.) (vb)
cincata-|to hang (tr.) (vb)
cir-|*to separate from; to cleave; to cut (vb)
circa|sickle (n)
cirda|splinter; wood shaving (n)
ciri-|*to sail; to cleave (vb)
cirihta-|to harvest; to reap (vb)
cirihtor|reaper (n)
cirincë|scarlet-plumed species of bird (n)
cirissë|gash; slash (n)
cirma; sicil|knife (n)
cirmacin (cirmacim-)|knife-edge (n)
cirya (Motion and Transportation)|(sharp-prowed) ship; boat; swift gliding (n)
cirya (Physical World)|cleft; pass (n)
ciryamo|mariner (n)
ciryampa|anchor; (lit.) boat-hook (n)
ciryando; ciryaquen|sailor (n)
ciryaquen|shipman (n)
ciryassëa|what is on board ship (adj)
ciryasta-; lut-; lutu-; sala-; vil-; vili-|to sail (vb)
ciryasta|fleet (of ships) (n)
ciryatan|shipbuilder; shipwright (n)
citya-|to tickle (vb)
cityalëa|sensitive; susceptible; ticklish (adj)
cityalë|tickling (n)
ciuca; tiuco|thigh (n)
civ-|*to germinate; to impregnate (vb)
ci|may; particle of uncertainty (particle)
coi; coilë; coivië; laulë|life (n)
coilemma|biological artifact/relic; fossil (n)
coimas (*coimass-)|lembas; life-bread (n)
coimen (coimend-)|life-year (n)
coina|alive; living (adj)
coingolmë|biology (n)
coiresta-|to spend one’s life (vb)
coirëa|alive; lively; living (adj)
coirë|Stirring; early spring (n)
coita-|to be alive; to have life; to live (vb)
coito|*life (n)
coiva|awake; lively; living (adj)
coivenqua|lively; vibrant; vivacious; (lit.) full of life (adj)
coivië|awakening; liveliness (n)
col-|to bear; to carry; to wear (vb)
colbanavië|*(lit.) womb-being; gestation (n)
colcallë|phylactery; (lit.) little box (n)
colca|box (n)
colimen|prick (n)
colindo|bearer (n)
colla|borne; cloak; vestment; worn (adj n)
colma|stretcher (n)
coloitië|endurance; fortitude; staunchness (n)
coloitë (coloiti-)|capable of bearing; enduring; tolerant (of) (adj)
colonda; talanya|burdened; sad; weighed down (adj)
colosta (Food and Drink)|cucumber (n)
colta-|to burden; to lade; to weigh down (vb)
colucë (Food and Drink)|strainer (n)
combë|assemblage; assembly; collection; gathering (n)
comya-; hosta-; soracta-|to collect (vb)
condassë|dragon’s lair (n)
coranar (coranár-)|(solar) year; (lit.) sun-round (n)
cordamo|cleric (n)
corda|temple (n)
cordon|idol (n)
corin|circular enclosure; great circular hedge (n)
corma|ring (n)
corna|globed; round (adj)
cornë; masta|loaf (n)
coromindo|cupola; dome (n)
coron (corn-) (Physical World)|[ᴹQ] globe; ball; mound (n)
coron (corn-) (Spatial Relations)|ball; globe (n)
corpë|skull (n)
corta-|to pack; to roll; to roll up (vb)
cortangwa|button; (lit.) circle-fastener (n)
corto; rindë|circle (n)
costa-|to *argue; to debate; to dispute; to quarrel (vb)
costaima|debatable (adj)
costula|belligerent; quarrelsome (adj)
costë|dispute; legal action; quarrel (n)
cotsia; cotsivoitë|nutty (adj)
cotsivoitë|nut-bearing (adj)
cotto|*enemy (n)
cottulë; cotulwë|hazel (n)
cotumo|enemy (n)
cotwë|struggle; wrestling (n)
cotya|hostile (adj)
cotë (cotsi-); pecco|nut (n)
cucua|dove (n)
cucumba-|to nod repeatedly; (lit.) to keep on bowing (vb)
cucuollë|turtledove (n)
cuilórëa|absent-minded; (lit.) day-dreamy (adj)
cuilórë|day-dream; (lit.) awake-dream (n)
cuita-|to live; to rouse; to waken (vb)
cuitar|alarm; device to waken somebody (n)
cuiva|awake (adj)
cuivië; cuivë|awakening (n)
cuivëa|wakening (adj)
culda; culina|flame-coloured; golden-red (adj)
cullingwë|goldfish (n)
cullo|red gold (n)
culmírë|carneol [carnelian]; sardius; (lit.) orange-jewel (n)
culp-; yor-|to contain (vb)
culu; laurë|gold (n)
culuina; culuxa; laurëa|golden (adj)
culuina|orange (coloured) (adj)
culumalda|*(lit.) orange-tree; laburnum (n)
culuma|orange [fruit] (n)
culusta|gold coin (n)
culvelyávë|pumpkin (n)
cumba|*bellied (adj)
cumbo|belly (n)
cumbë; cólo; mólomë|burden (n)
cumbë|heap; load; pile (n)
