(a)lá|yes (interj)
nyérë|grief (n)
nyé|bleat, cry of goat or sheep (n)
ná-|to be, ⚠️[ᴱQ.] exist (vb)
nácë|it may be seeming, *qualified yes (interj)
náha|narrow, *thin (adj)
náma|judgment or desire (n)
námima|culpable, (lit.) judgeable (adj)
námië|single judgment or desire (n)
námocombë|tribunal (n)
námondur|court-attendant, (lit.) judge-servants (n)
námo²|judge (n)
námo¹|person, somebody (unnamed) (n)
nápat|thumb and index [fingers] as a pair (n)
nápo|thumb, (lit.) picker (n)
náquet-|to assent, agree (on fact); (lit.) to say ‘it is’ (vb)
nár|fire (as an element); ⚠️[ᴹQ.] flame (n)
násan|*amen, (lit.) may it be so (interj)
nása|yes, it is so (interj)
násië|*amen, (lit.) may it be so (interj)
náto|it is that; *yes (emphatic) (interj)
náva-tengwë|consonant (n)
náva²|*mouth (including tongue, lips and teeth), speech apparatus (n)
náva¹|hollow (adj)
návëa|consonant, *consonantal (n adj)
návë|being (n)
ná|yes, it is so, it is a fact (interj)
néca|pale, vague, faint, dim to see (adj)
néna|wet (adj)
nén|water, ⚠️[ᴱQ.] river (n)
nér|man, male person; [ᴹQ.] adult male; ⚠️[ᴱQ.] husband; warrior (n)
nésa|sister (n)
néya|once, at one time (adv)
né|ago, behind (earlier time); yes (it was so) (adv)
nëa|once, at one time (adv)
níca|little, small (adj)
nícë|little finger (n)
nílë|a special concern with or love for (n)
níma|phantom, a seeming (n)
nípa|small (usually with connotation of weakness) (adj)
níra|will (as a potential or faculty), individual will (in potential) (n)
nírë|force (n)
nírítë|forceful, exerting great thrust or pressure, driving (adj)
nísima|fragrant (adj)
nís|woman (n)
níta-|to weep, cry [tears] (vb)
nívë|face (n)
ní|beneath, not touching, under (prep)
nó-|to be born, ⚠️become (vb)
nólaimë|foreshadowing (n)
nólecöa|school, (lit.) house of lore (n)
nólemo|student (n)
nólë|lore, knowledge, long study; [ᴹQ.] wisdom (n)
nómessëa|local (adj)
nómessë|place-name (n)
nómëa|local (adj)
nómë|place (n)
nónarë|generation (n)
nóna|born (adj)
nónië|birth (n)
nópata-|to precede, (lit.) to walk before (vb)
nóquista-|to assume, make premature judgements (vb)
nórarwa|economy, (lit.) country-wealth (n)
nórecáno|governer, (lit.) country-leader (n)
nóretur|governer, (lit.) country-ruler (n)
nóriecáno|president (n)
nórihalmë|map (n)
nórima|strong/swift at running, swiftly running a course (adj)
nór|land (n)
nórëa|national (adj)
nórë|land, country, [ᴹQ.] region where certain people live, [ᴱQ.] nation; [Q.] †people, race, tribe, [ᴹQ.] folk, ⚠️[ᴱQ.] family (n)
nótar|computer, calculator (n)
nótima|countable, limited in number (weight and measure); (colloquial) moderate in amount, some, few, several (adj)
nótië|*counting (n)
nó|design (n)
nó²|but (conj)
nó¹|before (of time); at back (of place); [ᴹQ.] yester-; [ᴱQ.] after (of place), behind; ⚠️after (only of time); than (prep conj)
nöa|yesterday; former, *previous; ⚠️tomorrow (adj n)
nú-|going down, setting (of sun), west (pref)
núla²|under [beyond] (prep)
núla¹|dark, occult, mysterious (adj)
núlemo|(evil) sorceror, black magician (n)
núlë|black arts, sorcery (n)
númen|west, direction or region of the sunset, occident, (lit.) going down (n)
númë|west (n)
núna|western (adj)
núrie|depth (abstract) (n)
núromolië|ministry, (lit.) servant-labour (n)
núrula|grumpy, (lit.) likely to growl/grumble (adj)
núrë|maid servant, servant-woman (n)
núta-|to lower; [ᴹQ.] to set, sink (of Sun or Moon); [ᴱQ.] to stoop (vb)
nútaite|?lowering (naturally), degrading (adj)
nútil|under-point (n)
nútima|*lowerable (adj)
núya-|to descend (vb)
o(to)sta|one seventh (fraction)
o-|together (pref)
ocantië|pattern (n)
ocar-|to cooperate, work together, participate (vb)
ocaraitië|program, a set of activities (n)
occa|knee (n)
ofelmë|sympathy, compassion, pity, *(lit.) together-feeling (n)
ohlon|diphthong (n)
oholima|confidential (adj)
ohtarië|martial ardour (n)
ohtar|warrior (n)
ohta|war (n)
ohtë|egg (n)
ohéressëa|political (adj)
ohéressë|politics (n)
ohérë|government (n)
oi(o)|ever, everlastingly; an endless period, *aeon (adv n)
oia(la)|everlasting, unceasing, without end, for ever (adj)
oialëa|eternal (adj)
oialë|forever; everlastingly, eternally, in eternity; ⚠️[ᴹQ.] everlasting age (n adv)
oiavë|everlastingly (adv)
oiolairë|ever-summer (a species of tree) (n)
oiwa|glossy (adj)
oiwië|gloss, glossiness (n)
oi|ever, everlastingly (adv)
ola-|to become; [ᴹQ.] to grow (up) (vb)
olanwa|fully grown, adult, mature (adj)
olass(i)ë|foliage, collection of leaves (n)
olasta|growth (n)
olba|branch (n)
olca|bad, wicked (adj)
olindë|harmony (n)
olirië|concert (n)
olië|company, people together (n)
olla|over [beyond] (prep)
ollo|away from (prep)
ollë|*other one (adj)
olmen|growth-year (n)
olmië|growth (n)
olmos|chestnut tree, *chestnut (n)
oloirë|great flood (n)
oloiya-|to inundate, flood (vb)
olopsë|broom (n)
olorda|dreamy, drowsy; in dreams (adj)
olorië|theory (n)
olor|dream, vision (n)
olosta|dreamy, *dreamlike (adj)
olos²|dream, vision (n)
olos¹|inflorescence, mass of flowers (n)
olotsë|collection of flowers (n)
olpë|bottle (n)
olva|plant, growing things with roots in the earth (n)
olótë|bloom, the flowers collectively of a single plant (n)
ombari|company, dwellers together (n)
omen-|to meet, move to a common point, *(lit.) move together (vb)
oment-|to meet (vb)
omentië|meeting (of pathways), (lit.) coming together of journey-path, meeting or junction of the directions of two people (n)
omolmessë|corporation (n)
omolmë|company, business, enterprise, firm (n)
ompa|forward (adv)
omya-|to resonate (of longer sounds) (vb)
omírë|jewelry (collectively) (n)
onda|creation, work (n)
ondolunca|stonewain (n)
ondolë|(stone) monument or cairn (n)
ondomaitar|sculptor in stone (n)
ondomillo|petrol, petroleum, gasoline, gas (n)
ondopelet|pickaxe (n)
ondosercë|stonecrop, plant with red flowers, (lit.) blood of stone (n)
ondova|stony (adj)
ondo|stone (as a material), (large mass of) rock (n)
ondórëa|hard-hearted, pitiless (adj)
ongolmo|geologist (n)
ongolmë|geology (n)
ongwemo|criminal, transgressor (n)
ongwë|crime (n)
onin|anvil (n)
onna|child, *offspring; ⚠️[ᴹQ.] creature (n)
onot-|[ᴹQ.] to count up, *reckon (vb)
ono|but (conj)
onta-|to beget, *conceive (a child); [ᴹQ.] to create (vb)
ontalë|descent, *derivation, ancestry (n)
ontamo|mason, ⚠️sculptor (n)
ontari(l)|*mother, (lit.) genetrix (n)
ontar|parent (gender neutral) (n)
ontavalië|puberty, *(lit.) able to beget (n)
onwë|child (n)
onya-|to be born, be begotten (vb)
onya|my child (n)
onë|but (conj)
onóna|twin-born; one of a pair of twins (adj n)
onótimo|*reckoner (n)
onótië|*reckoning (n)
opo|before, in front (of place); ⚠️after (of time) (prep)
or-|to warn, urge, feel an urge/wish/desire (vb)
ora-|to warn, urge, feel an urge/wish/desire (vb)
oranar|noon, (lit.) above Sun (n)
orco|Orc (n)
orda-|to threaten (vb)
orda|profound (adj)
orendë|(nuclear) family (n)
oricon|heather (n)
orina|risen (adj)
ori|grain, ⚠️seed (n)
orma|(physical) matter (n)
ormo|riser (n)
orna|high, lofty (adj)
ornemalin|[tree] bearing yellow flowers (n)
ornendur|tree-keep, forester, woodsman (n)
ornë|(tall) tree, [ᴹQ.] high isolated tree (n)
oro-|up, aloft (pref)
orohalla|superior (adj)
orolanda|upland, plateau (n)
oroman|mountain dweller (n)
oromar|lofty hall, high-mansion, high (lofty) dwelling (n)
oron|mountain (n)
oroparmen|high school, university (n)
orosta|ascension (n)
orotinga|mountain-top (n)
oro|mount, mountain, ⚠️hill (n)
orpano|ridgepole (n)
orró-|uprising, sunrise, east (pref)
orróna|eastern (adj)
orsa|upper, above (adj)
orta-²|to rise (vb)
orta-¹|to raise, cause to rise, lift (up) (vb)
ortil|up-point (n)
ortirmo|overseer (n)
ortosta|mountain range (n)
orto|[ᴹQ.] mountain-top; ⚠️[Q.] mount, mountain (n)
ortur-|to overpower, conquer, prevail (vb)
ortírië|*patronage, (lit.) watching over (from above) (n)
orvamir|chrysoprase, (lit.) apple-jewel (n)
orva|apple (n)
orwa|high, lofty (adj)
orya-²|*to raise (vb)
orya-¹|to rise (vb)
oryandë|arising (n)
oryat|badger (n)
or|above, [ᴱQ.] upon; ⚠️on (prep)
oscaita-|to surround, (lit.) around-lie (vb)
oscir-|to circumcise, (lit.) around-cut (vb)
osco|seven (cardinal)
ospor|chaff (n)
osquetië|context (n)
ossa|surrounding (adj)
ossië|surroundings (n)
ostar|community (n)
ostec-|to describe (vb)
ostimmir|agate, (lit.) blend-jewel (n)
ostimë|blend (n)
ostomo|citizen (n)
osto|fortress, stronghold, strong place; [ᴹQ.] city, town with wall round (n)
oswë|hip (n)
os|around, about, ⚠️round (prep)
osáma|common, joint, (lit.) together-having (adj)
otarmië|colonnade (n)
otolmië|keyboard (n)
otoquain|seventy (cardinal)
otoquëan|seventy (cardinal)
otoquëa|seventeenth (ordinal)
otoquë|seventeen (cardinal)
otornië|company, association, alliance (n)
otos|seven (cardinal)
otsat|one seventh (fraction)
otsolametta|weekend (n)
otsola|(seven-day) week (n)
otsollumë|seven times (adv)
otso|seven (cardinal)
otsëa|seventh (ordinal)
ovanta-|to meet (vb)
ovesta|contract, compact, treaty (n)
ovéa|(con)similar, alike (adj)
ovëanta-|to imitate, make like (vb)
ovëantainë|imitation (n)
ovëassë|resemblance; likelihood (n)
ovëa|(con)similar, alike (adj)
o|from (prep)
pahta-|to speak, talk (intransitive) (vb)
pahtalanga-|to translate (speech), interpret (vb)
pahtalanga|interpretation (n)
pahtando|orator (n)
pahta²|speech (n)
pahta¹|closed, shut, private (adj)
paimenë|vindictiveness, vengefulness, cruelty (n)
paimesta|chastisement (n)
paimeta-|to exact or inflict a penalty, punish (vb)
paimë|vengeance taken, punishment, penalty, infliction (n)
pairemo|avenger (n)
paireta-|to avenge, take vengance (vb)
pairë|vengeance, revenge (n)
paitya-|to repay, requite (vb)
paityalë|reward, payment (n)
pakta-|to speak, talk (intransitive) (vb)
palallon|telephone, (lit.) far-sound (n)
palampa|drum (n)
palancenta|telecommunication (n)
palancen|television, (lit.) far-sight (n)
palantilla|telescope (n)
palantir-|to watch/look afar (vb)
palantímië|telepathy (n)
palantír|far-gazer, far-seer, (lit.) that which looks far away (n)
palanyantië|telepathy (n)
palan|far, wide, afar, distant; [ᴹQ.] to a great extent, over a wide space, to a distance (adj adv)
palanóma|phone (n)
palasta-|to splash, sprinkle (vb)
palastië|splashing (n)
palda|plate, dish, platter (n)
palda|wide, broad, *expansive (adj)
palis|sward, green, lawn (n)
palla|far beyond (prep adv)
palma²|tablet (n)
palma¹|flat tool, flat plank, oar (n)
palo|plane (surface), the flat, *level, flatness; ⚠️plain (n)
palta-|to feel with the hand, stroke (vb)
paltalda|palm tree (n)
palta|flat of the hand, *palm; [ᴱQ.] shelf (n)
paluhta|table (n)
paluhtincë|tablet (n)
palusta|shelf, bookshelf (n)
palwa|even, level, flat (adj)
palúna|swollen (adj)
pampilëa|tremulous (adj)
pampilë|trembling (n)
pampinë|tremor, earthquake (n)
pan-|*to arrange, set in order (vb)
panin|definite, planned, concerted, deliberate, prepense, meant (adj)
panna|arrangement, grouping; *plan, course; ⚠️book (n)
pantië|unfolding, opening, ⚠️revealing (n)
panwë|arrangement, plan; structure, ordering; (musical) theme (n)
panyalë|meaning, intention (n)
pan|*since (conj)
pan|*since, because (conj)
pap-|to tremble (vb)
par-|to learn (vb)
parahta-|to dry (vb)
parandë|(school) lesson (n)
parcata-|to dry something, dry up (vb)
parca|naked (of persons) (adj)
parco|towel (n)
parma-resta|*book-fair (n)
parmacas|bookcase (n)
parmahenta-|*to read (vb)
parmahentië|(book) reading (n)
parmahto|author (n)
parmalas(së)|page, (lit.) leaf of book (n)
parmasan|library [room] (n)
parmasson|librarian (n)
parmassë|literature, ⚠️library (n)
parmatéma|p-series (n)
parma|book, writing, composition, written document of some size; ⚠️[ᴱQ.] skin, bark; parchment (n)
parmen|school, place of study (n)
parmo|student, (lit.) learner (n)
parna|bare (adj)
parnë|bald, bare, ⚠️naked (adj)
parta-|to arrange, compose, order (vb)
partalë|order, orderliness, organization (n)
partië|arrangement, composition (n)
pas-|to smooth (vb)
passa|smooth, glabrous (adj)
pasta-|to smooth, iron (vb)
pasta|smooth(ed), sleek, glabrous (adj)
paswa|sward (n)
pat-|to step, take a (single) step (vb)
pata-|to walk, *stroll; [ᴱQ.] to rap, tap (of feet) (vb)
pataca|consonant (n)
patacë|clatter (n)
patahta-|to clatter; *to clap (+ instrumental of hands) (vb)
patil|key (n)
patinca|slipper, ⚠️shoe (n)
pattal|hoof (n)
patta|smoothed, sleek (adj)
patu-|to step to it, start off, start walking (vb)
pat|step (n)
pecco|nut (n)
peccuvo|squirrel, (lit.) nut-hider (n)
pehtë|cox-comb, *crest (of birds), ⚠️plume (n)
pel-|to go round, encircle; [ᴱQ.] to surround, fence in, pen in; ⚠️[ᴹQ.] to revolve, return (vb)
pelas|along, (lit.) by the boundary of (prep)
pelecco|axe (n)
pelin|fenced in, pent (adj)
pellauca|lukewarm (adj)
pella|beyond (boundary or limit) (prep adv)
pellopë|donkey, ass (n)
pelma|border, fringe, edge, limiting device; [ᴱQ.] pen (n)
pelo|boundary (fence) (n)
pelta-|to roll (vb)
peltas|fence of fixed stakes, a ‘pale’ (n)
pelë|revolution (n)
pempë|lip (n)
pen-|not to have, *to lack (vb)
penda-|to slope, incline (vb)
penda|sloping down, (steeply) inclined (adj)
pendë|steep incline, hillside, [ᴹQ.] (down) slope, declivity (n)
penga-|to pout (vb)
pengëa|labial, of the lips (adj)
penië|lack, want, shortage (n)
penna|lacking; vowel (adj n)
penno|poor man (n)
penquanta|full to the brim, with mouth full (adj)
penta-|to lose (vb)
pententa-|to mention, (lit.) indicate by mouth (vb)
pententalë|mention (n)
pentë|front (n)
penyalë|poverty, deprivation (n)
penya|lacking, inadequate; *poor (adj)
pen|without, not having (prep)
pepella-|to circulate, orbit (vb)
pequ-|to comb, card wool, tease (vb)
pequen|comb (n)
per-|half, [ᴹQ.] semi (pref)
percoron|hemisphere (n)
peresta-|to disturb (vb)
peresta|one half (fraction)
perestië|disturbance (n)
permë|half; side (of person or shape) (n)
perranga|cubit (n)
persa-|to affect [sounds], ⚠️disturb, alter (vb)
persana|affected (adj)
persanië|affection (n)
perta|one half (fraction)
pertol|peninsula (n)
perwaima|skirt, (lit.) half-robe (n)
pia|little (adj)
pic-|to lessen, dwindle, wane (vb)
picara|leopard (n)
picina|little (adj)
piemillo|olive oil (n)
pihta-|to shrink (vb)
pil-|to steal (vb)
pilinehtar|a reed-like plant, (lit.) ?arrow thorn (n)
pilintan|fletcher (n)
pilucca|stealthy, ⚠️secret (adj)
pilu|thief, robber (n)
pilwë|robbery, theft (n)
pimpilin|tassel, hanging tail (n)
pimpina|trailing (adj)
pimpë|tail (n)
pincë|little (adj)
piopin|haws, fruit of hawthorns (n)
pio|berry, plum, cherry (n)
pirina|juicy, oozy (adj)
pirindëa|cylindrical (adj)
pirindë|flower that opened and shut quickly with any change of light (n)
pirinumbë|cylinder (hollow) (n)
pirin|thin rod, pin (n)
pirnë|flower that opened and shut quickly with any change of light (n)
pirucendëa|on the point of her toes (adj)
pirë|toe (n)
pitya|petty, little (adj)
piuca|blackberry (n)
poco(lle)nyarro|opossum, (lit.) pouch-rat (n)
pocollë|pouch (n)
poco|bag (n)
poita-|to cleanse, *clean (vb)
poitië|(act of) cleaning, cleansing (n)
pol-|can, to be able to (vb)
polca|pig (n)
poldavë|strongly (adv)
polda|big; [ᴹQ.] strong, burly; ⚠️[ᴱQ.] mighty, powerful (adj)
polië|ability (n)
pollië|hard, strongly (adv)
pollo|ram (n)
polondë|alder (n)
polta-|to (physically) enable (vb)
polëa|able (adj)
polë|meal, grist, [ᴹQ.] flour, [ᴱQ.] oats, grain (unground kernels of oats, wheat, etc.) (n)
pono|in front (of place) (prep)
popólu-|to practice, (lit.) slowly gain ability (vb)
porisalquë|corn, (lit.) flour-grass (n)
porocë|hen, barn fowl, *chicken (n)
poroton|proton (n)
poru|kernel (n)
potai|*therefore, (lit.) before which (conj)
poto|in front (of place) (prep)
psar-|to rub, [ᴹQ.] fret (vb)
pucco|cunnus, vagina (n)
puhta-|to copulate, have sex (vb)
puhta|coitus, *sex (n)
puhtëa|sexual (adj)
pulco|trunk, bole of tree, *torso, ⚠️body (n)
pulmaxë|leaven(ing), *yeast (n)
pulta-|to make swell, leaven (vb)
puncil|male organ, penis (n)
pupso|large fly, [ᴹQ.] blow fly (n)
páselanne|linen-cloth (n)
páselarma|linen-raiment (n)
pásë|linen (n)
pávatengwë|consonant (n)
páva|mouth (n)
pá|touching, against, on (above but touching); as regards, concerning, [ᴹQ.] about (prep)
pérappa|bridle, (lit.) lip-rope (n)
pé|(closed) mouth; the two lips [as dual], ⚠️lip (n)
pëanta-|to give instructions to, enjoin, ⚠️give into one’s hands, *teach (vb)
pëantar|teacher (n)
pímótar|ant, (lit.) insect-worker (n)
píta-|to reduce, decrease (vb)
pí|small insect, fly, *mite, gnat; ⚠️[ᴱQ.] speck, spot, dot, mote (n)
póna|forward (adv)
pó|before, in front (of place); after (of time) (prep)
púlima|pourable, liquid (adj)
púrëa|smeared, discoloured, bleared (adj)
qua(na)|all, complete, entire, full, the whole (adj pron)
quaccas|tadpole, (lit.) frog head (n)
quaican|*fourteen (cardinal)
quaihúmë|ten thousand, myriad (cardinal)
quailepen|*fifteen (cardinal)
quainel|*thirteen (cardinal)
quainque|*sixteen (cardinal)
quainyë|decade (n)
quain|ten (cardinal)
quainëa|tenth (ordinal)
quaista|one tenth (fraction)
qual-|to die (vb)
qualmëa|deadly, deathly (adj)
qualta-|to kill, murder (vb)
qualussë|perfect tense, (lit.) full tense (n)
qualöa(va)|annual, yearly, perennial (year as whole) (adj adv)
quam-|to be ill, vomit (vb)
quamna|vomit (n)
quampa-|to hawk goods (vb)
quampalë|chaffering, *haggling, bargaining (n)
quampa|peddlar-goods (n)
quampo|pedlar, huckster (n)
quanta-|to fill [something], *(lit.) make full; [ᴱQ.] to complete, *fulfill (vb)
quantassë|fullness (n)
quanta|full, filled; ⚠️[ᴱQ.] whole, all (adj)
quantemma|facsimile, *(lit.) full-picture (n)
quantolië|maturity (n)
quap-|to chaffer, bargain, swap, barter (vb)
quapta-|to exchange (vb)
quaptalë|exchange (n)
quaptando|money-changer, (lit.) exchanger (n)
quapta|deal, bargain (n)
quaqua-|to quack, squawk, cackle, *croak (vb)
quaran|full-moon (n)
quas-|to shake, flap, nod, ⚠️rustle (vb)
quat-|to fill, *be filled (vb)
quel-|to fade; ⚠️[ᴹQ.] †to fail; [ᴱQ.] to perish (vb)
quelehtima|corrupt, rotten (adj)
quelehtië|rot, corruption (n)
quelehtë|carcass (n)
queletya-|to perish (vb)
quelië|*fading (n)
quellë|late autumn and early winter, (lit.) fading (n)
quelmë|ruin, utter end, perdition, ⚠️end, death (n)
quendi|female Elf (n)
quendu|male Elf (n)
quenelya|of the Elves (adj)
quennasta|syntax (n)
quenna|saying, proverb (n)
quenna|saying, proverb (n)
quenso|minstrel, reciter (n)
quentalë|history, narration, [ᴹQ.] account (n)
quentaro|speaker, reciter; [ᴹQ.] narrator, minstrel (n)
quentasta|historical account (n)
quenta|story, narrative, account, history, [ᴹQ.] tale (n)
quequer-|to wag (vb)
quer-|to turn, *revolve (vb)
querda|turn (e.g. in a game) (n)
queren|pivot, revolving centre (n)
querma|spinning wheel, turn-table, *wheel (n)
quermen|a turning, turn, corner (of a street) (n)
quernamo|proselyte, convert (n)
querna|*turned (adj)
querë|revolution (n)
quessamin|velvet, (lit.) downy silk (n)
quessehonda|frivolous; (lit.) feather-hearted (adj)
quessetéma|kw-series (n)
quessë|feather (n)
questa|speech, language (n)
quet-|to say, speak, tell, ⚠️[ᴱQ.] talk (vb)
quetië|words, *(lit.) saying (n)
quettacarmë|(art of) word-making (n)
quettalcar|renown, (lit.) word-glory (n)
quettalë|sentence; wording, expression, phrase (n)
quettapano|morpheme, (lit.) word-element (n)
quettaparma|wordlist, wordbook (n)
quetta|word (n)
quetyar-|to pronounce, (lit.) cause vocal speech (vb)
quetyarmë|pronunciation (n)
quetítë|having speech, able to talk, good at expression, glib (adj)
quihta-|to shoot (vb)
quihta|shot, projectile (from a bow or a crossbow) (n)
quilda-|to stay quiet, be quiet, ⚠️rest (vb)
quildarë|bat (n)
quilda|quiet, hushed, still (adj)
quilde|quiet, rest, hush (n)
quilinoitë|[em]broidered (adj)
quilin|adorned; (orig.) bright-coloured, *embellished; ⚠️embroidered (adj)
quilma|paint (n)
quilta-|to gird, encircle (vb)
quiltaina|girdled, girt (adj)
quiltalannë|apron (n)
quiltassë|(em)broidery (n)
quilta|belt, ⚠️girdle (n)
quilya-|to colour, color, embellish, *paint, ⚠️adorn (vb)
quilëa|coloured, colored, -hued (adj)
quilë|colour, color, hue (n)
quima|whether (conj)
quin-|to speak high, squeak (vb)
quinga-|to twang, thrum (of strings, harps, etc.) (vb)
quinna|crested (adj)
quinqua|languid, *lazy, relaxed, ⚠️drooping (adj)
quinquelëa|languorous, *relaxing (adj)
quinquelë|languor, *relaxation (n)
quinquenna|Solomon’s-seal (n)
quint|loop, stitch (in knitting) (n)
quiquië|whenever (adv)
quir-|to stir, make spin (vb)
quirilda|twirling, pirouetting (adj)
quiril|spindle; [spinning] top, *whirligig (n)
quirmë|cream (n)
quista-|to suppose (vb)
quit-|to knit (vb)
quitima|(for) knitting (adj)
quitin|knitted, joined tight (adj)
quitulma|scenario (n)
qui|if (conj)
quië|whenever (adv)
quol-|to ail, *be sick (vb)
quolimo|invalid (n)
quolina|ill, sickly, ailing (adj)
quolu|disease (n)
quolúva|pestilent, pestilential (adj)
quolúvië|pestilence (n)
quonda|choking smog, smoke (n)
quor-|to choke, suffocate, (esp.) drown (vb)
quorin|drowned, choked, speechless (adj)
quosta-|to choke, drown (trans.) (vb)
quáco|crow (n)
quácë|frog (n)
quámëa|sick, *nauseous (adj)
quár(ë)|fist, closed hand (n)
quá|duck (n)
quén|person, individual, man or woman; one, somebody (n pron)
quétima|speakable, pronounceable, [ᴹQ.] utterable, *able to be said (adj)
quëallumë|ten times (adv)
quëan|ten (cardinal)
quëatarwa|vegetable or kitchen garden (n)
quëa|vegetable (n)
quí(ta)|if (conj)
quín(ë)|crest, ridge (n)
quínëa|squeaking (adj)
quínë|squeaking, *squeak (n)
rac-|to break (vb)
rac-|to curse (vb)
racco|curse (n)
racina|stripped, deprived (adj)
racon|cobblestone, (lit.) broken stone (n)
raf-|[ᴹQ.] to snatch, seize; ⚠️to wave, brandish (vb)
rahta-|to stretch out, reach (vb)
rahtë|extent, reach; region, sphere, district, scope (n)
raica-|to falsify (vb)
raica|crooked, [ᴹQ.] bent, wrong (adj)
raicë|wrong (n)
raila|smile (n)
raima|net (n)
raina²|smiling, gracious, sweet-faced (adj)
raina¹|netted, enlaced, caught in a net (adj)
rainë|*peace, good will (n)
raita-²|to smile (vb)
raita-¹|to make network or lace; to catch in a net (vb)
raitando|gospel (n)
raito|fisher (n)
raiwë|lace (n)
ral-|to return (intransitive) (vb)
ralya-|to return (transitive) (vb)
ramba|wall (n)
rambil(lë)|(small) drum (n)
rambil|drum (n)
ramma|lever (n)
ramna|wing (horn) (n)
ramya-|to fly, sail; to wander (vb)
ranga|yard, full pace (n)
rangwië|fathom(ing), spatial reckoning/consideration (n)
ranqua|armful (n)
rantala|ladder (n)
rantarwa|partner (n)
ranta|course (n)
rantie²|tribute (n)
rantie¹|party (n)
ranyaila|wandering (adj)
ranyar|wanderer (n)
ranya|erratic wandering; ⚠️[ᴹQ.] free (n)
rapa-|to snatch (vb)
rappa|rope (n)
ras-|to stick out (vb)
rasillo|squirrel (n)
rassemunda|rhinoceros, (lit.) horn-snout (n)
rassulca|carrot (n)
rassëa|horned (adj)
rassë|horn [of both animals and mountains] (n)
rata-|to make a way, find a way (vb)
rata|path, track (n)
rattaraxa|tram, (lit.) track-wagon (n)
ratta|street, course, river-bed (n)
ratta|track (n)
rauca|demon (n)
rauco|demon, powerful hostile and terrible creature (n)
raucëa|demonic (adj)
raumo|(noise of a) storm (n)
rauro|lion (n)
rav-|to roar (vb)
ravennë|she-lion, *lioness (n)
raxasta|train (n)
raxa|wain, *wagon (n)
raxëa|dangerous (adj)
raxë|*danger (n)
recca|spittle, *saliva (n)
rehta-|to rescue, save (vb)
rehtië|rescue, saving (n)
rehto|savior (n)
rel-|to sow (vb)
relyávalda|fig-tree (n)
relyávë|fig (n)
rem-|to snare (vb)
remba-|to net, entrap (vb)
rembina|entangled, meshed, netted, woven (adj)
rembë|mesh, net (for catching), hunter’s or fisher’s net (n)
remma|snare (n)
rempamba(lë)|basketball (n)
ren-|to remember (vb)
renda|related, of the same kin or clan (adj)
rendolë|cousinship (n)
rendo|male cousin, kinsman, *relative (n)
rendë|kinship, kin, kindred, clan (n)
renta-|to remind (vb)
rerestë|scattering, diaspora (n)
rerindo|sower (n)
res-|to remain in same place (vb)
ressë|female cousin, kinsman, *relative (n)
restandië|furlong (n)
restassë|countryside, the country (n)
resta|sown field, tilled ground, acre; *fair (n)
restë|endurance (n)
ret-|to climb (vb)
retto|*climber (n)
rianna|queen (n)
ric-²|to twist (vb)
ric-¹|to try, put forth effort, strive, endeavour (vb)
ricítë|diligent (adj)
riel(lë)|garlanded maiden, maiden crowned with a festive garland (n)
riendë|garland (n)
rihta-|to strive (vb)
rihta|effort (n)
rimbë|host, great number, [ᴹQ.] crowd (n)
rimpeccuvo|chipmunk (n)
rimperocco|zebra, (lit.) stripe-horse (n)
rimpina|striped (adj)
rimpion|gneiss, (lit.) stripe-rock (n)
rimpira|tiger, (lit.) stripe-lion (n)
rimpë²|scratch (n)
rimpë¹|stripe, strip (n)
rincuma|task, charge, mission (n)
rindë|swift (adj)
ringa|cold, [ᴱQ.] chilly; ⚠️damp (adj)
ringincë|cool, coldish (adj)
ringë|chill, cool (adj)
rinqua|revolving, returning, recurrent; ⚠️round, circular (adj)
rip-|to scratch (vb)
ripta-|to cut in strips, tear up; to stripe, mark in parallel lines; to flay, flog (vb)
riquë|experiment (n)
rista-|[ᴹQ.] to cut (vb)
rië²|only (adv)
rië¹|[ᴹQ.] crown, ⚠️[Q.] garland (n)
ro-|uprising, sunrise, east (pref)
roccotsë|cavalry (n)
rocco|horse (n)
roccë|mare (n)
rocindë|*debtor, one who trespasses (n)
rocollë|colt (n)
rohtalië|*those who trespass, (lit.) trespass-people (n)
rohta|*debt, trespass (n)
romba|horn, trumpet (n)
romya|loud (adj)
ron(go)|soon (adv)
ronda|solid, firm (adj)
rondova|cavernous (adj)
rondo²|staff (of hardwood) (n)
rondo¹|vaulted or arched roof, vaulted hall; [ᴹQ.] cavern, ⚠️cave (n)
ronga-|to hasten, hurry (vb)
ronwa|block, solid piece (n)
roquen|knight, horseman, rider (n)
rossë|(fine) rain; [ᴹQ.] dew; *spray, shower; ⚠️[Q.] foam (n)
rosta-|to hollow out, excavate (vb)
rostaurë|rainforest (n)
rot-|to delve, excavate, dig (vb)
rotsenca|waistcoat, vest (n)
rotsë|pipe, tube (n)
rotta-|to bore (a hole or tunnel) (vb)
rotto|tunnel, small grot, [ᴹQ.] cave (n)
ru-|evil- (pref)
rua|steady, still, tranquil (adj)
ruc-|to feel fear or horror; *to flee (to) (vb)
ruhta-|to terrify (vb)
ruical(a)|firelight (n)
ruihandë|genius, blazing intellect (n)
ruimenya|fireside, by the fire (adj)
ruimen|fireplace, hearth (n)
ruina|blazing, fiery (adj)
ruinë|blaze, fire (n)
ruivë|wild fire (n)
rum-|to shift, move, heave (of large and heavy things) (vb)
